iteration,PINN__seed2__loss,PINN__seed3__loss,PINN__seed20__loss,PINN__seed42__loss,PINN__seed88__loss,PINN__seed123__loss,PINN__seed456__loss,PINN__seed487__loss,PINN__seed578__loss,PINN__seed965__loss,PINN-RAR__seed2__loss,PINN-RAR__seed3__loss,PINN-RAR__seed20__loss,PINN-RAR__seed42__loss,PINN-RAR__seed88__loss,PINN-RAR__seed123__loss,PINN-RAR__seed456__loss,PINN-RAR__seed487__loss,PINN-RAR__seed578__loss,PINN-RAR__seed965__loss,QPINN__seed2__loss,QPINN__seed3__loss,QPINN__seed20__loss,QPINN__seed42__loss,QPINN__seed88__loss,QPINN__seed123__loss,QPINN__seed456__loss,QPINN__seed487__loss,QPINN__seed578__loss,QPINN__seed965__loss,QPINN-RAR__seed2__loss,QPINN-RAR__seed3__loss,QPINN-RAR__seed20__loss,QPINN-RAR__seed42__loss,QPINN-RAR__seed88__loss,QPINN-RAR__seed123__loss,QPINN-RAR__seed456__loss,QPINN-RAR__seed487__loss,QPINN-RAR__seed578__loss,QPINN-RAR__seed965__loss
0,0.0044,0.0006,0.17,0.21,0.026,0.099,0.0055,0.022,0.04,0.29,0.0044,0.0006,0.17,0.21,0.026,0.099,0.0055,0.022,0.04,0.29,6.3e-05,0.00041,9.2e-05,1.5e-05,0.00057,0.00014,0.00024,1.6e-05,0.00021,5e-05,2.4e-05,7.9e-05,0.00062,0.00045,0.00036,0.0016,0.0012,9.7e-06,4.8e-05,2.5e-05
100,0.0082,0.012,0.017,0.012,0.038,0.04,0.036,0.039,0.0046,0.023,0.0082,0.012,0.017,0.012,0.038,0.04,0.036,0.039,0.0046,0.023,0.06,0.045,0.061,0.015,0.037,0.041,0.079,0.063,0.048,0.023,0.04,0.053,0.013,0.021,0.015,0.067,0.0098,0.066,0.026,0.075
200,0.00093,0.0045,0.0048,0.012,0.0098,0.0053,0.0071,0.0023,0.0021,0.011,0.00093,0.0045,0.0048,0.012,0.0098,0.0053,0.0071,0.0023,0.0021,0.011,0.011,0.017,0.027,0.04,0.012,0.013,0.015,0.012,0.016,0.024,0.011,0.011,0.011,0.021,0.012,0.016,0.011,0.01,0.014,0.021
300,0.00075,0.0022,0.0025,0.002,0.0047,0.0028,0.0062,0.0013,0.0015,0.0023,0.00075,0.0022,0.0025,0.002,0.0047,0.0028,0.0062,0.0013,0.0015,0.0023,0.0055,0.0084,0.0049,0.0055,0.0035,0.0029,0.003,0.005,0.0057,0.0051,0.0045,0.0057,0.0028,0.0053,0.0021,0.0052,0.005,0.0049,0.0061,0.0052
400,0.00072,0.001,0.00082,0.0013,0.0036,0.0017,0.0032,0.0012,0.0014,0.0016,0.00072,0.001,0.00082,0.0013,0.0036,0.0017,0.0032,0.0012,0.0014,0.0016,0.0023,0.0036,0.0015,0.0036,0.0022,0.0012,0.0025,0.003,0.0025,0.0022,0.0012,0.0016,0.0011,0.0021,0.00069,0.0022,0.0021,0.0029,0.002,0.0037
500,0.00076,0.00091,0.00078,0.0009,0.002,0.0011,0.0033,0.00072,0.00083,0.00059,0.00076,0.00091,0.00078,0.0009,0.002,0.0011,0.0033,0.00072,0.00083,0.00059,0.0013,0.0022,0.0012,0.0023,0.0016,0.0011,0.0015,0.0012,0.002,0.00098,0.00052,0.0015,0.001,0.0016,0.00079,0.0014,0.0012,0.0021,0.0014,0.0018
600,0.00046,0.00081,0.0006,0.00087,0.0014,0.00048,0.0026,0.00052,0.00055,0.00091,0.00046,0.00081,0.0006,0.00087,0.0014,0.00048,0.0026,0.00052,0.00055,0.00091,0.0011,0.0015,0.00052,0.0014,0.0012,0.00057,0.0011,0.0011,0.0013,0.0006,0.00052,0.00091,0.00042,0.0011,0.00059,0.00056,0.0008,0.00084,0.00058,0.0013
700,0.0004,0.00099,0.00063,0.0011,0.0024,0.0005,0.0018,0.00052,0.00041,0.00056,0.0004,0.00099,0.00063,0.0011,0.0024,0.0005,0.0018,0.00052,0.00041,0.00056,0.00086,0.0012,0.00053,0.0018,0.0016,0.00054,0.0012,0.00059,0.00075,0.0005,0.00056,0.0012,0.00038,0.0013,0.00061,0.00039,0.0006,0.00046,0.00069,0.0011
800,0.0004,0.00037,0.00045,0.0006,0.0019,0.00077,0.0016,0.00041,0.00048,0.00065,0.0004,0.00037,0.00045,0.0006,0.0019,0.00077,0.0016,0.00041,0.00048,0.00065,0.001,0.00094,0.00043,0.00078,0.00079,0.00038,0.00058,0.00068,0.00073,0.00034,0.00064,0.00084,0.00022,0.00081,0.00022,0.00027,0.00054,0.00062,0.00045,0.00066
900,0.00035,0.0005,0.00045,0.00055,0.0014,0.00056,0.001,0.00048,0.00031,0.00033,0.00035,0.0005,0.00045,0.00055,0.0014,0.00056,0.001,0.00048,0.00031,0.00033,0.00048,0.00039,0.00039,0.00047,0.0011,0.00052,0.00033,0.00058,0.00058,0.00044,0.00038,0.0004,0.00021,0.00042,0.0005,0.00039,0.0004,0.00044,0.00038,0.00069
1000,0.00065,0.00053,0.00036,0.00061,0.0017,0.00074,0.00064,0.00065,0.00028,0.00036,0.00065,0.00053,0.00036,0.00061,0.0017,0.00074,0.00064,0.00065,0.00028,0.00036,0.00072,0.00065,0.00037,0.00069,0.00051,0.00036,0.00056,0.00056,0.0004,0.00025,0.00047,0.00091,0.00011,0.0006,0.00029,0.0003,0.00052,0.00035,0.00038,0.00065
1100,0.00055,0.00042,0.00021,0.00052,0.0013,0.00044,0.0006,0.00072,0.00021,0.00032,0.00055,0.00042,0.00021,0.00052,0.0013,0.00044,0.0006,0.00072,0.00021,0.00032,0.00039,0.00048,0.0002,0.00047,0.00041,0.00044,0.00028,0.00038,0.00025,0.00024,0.00029,0.00046,0.00014,0.00046,0.00019,0.00035,0.00026,0.00026,0.00023,0.00045
1200,0.00044,0.00072,0.00022,0.00073,0.0015,0.0003,0.00067,0.00063,0.00024,0.00032,0.00044,0.00072,0.00022,0.00073,0.0015,0.0003,0.00067,0.00063,0.00024,0.00032,0.00039,0.00034,0.00031,0.00068,0.00032,0.0004,0.0004,0.00027,0.00039,0.00025,0.00026,0.00043,0.00014,0.00064,0.00019,0.0003,0.00033,0.00036,0.00019,0.00039
1300,0.00051,0.00038,0.00029,0.00058,0.00091,0.00054,0.00041,0.00042,0.00014,0.0005,0.00051,0.00038,0.00029,0.00058,0.00091,0.00054,0.00041,0.00042,0.00014,0.0005,0.00032,0.00032,0.00017,0.00038,0.00029,0.00035,0.00019,0.00026,0.00024,0.00023,0.00025,0.00035,0.00015,0.00052,0.00016,0.00025,0.00027,0.00031,0.00014,0.00047
1400,0.00076,0.00041,0.00019,0.0006,0.00066,0.00044,0.00042,0.00026,0.0001,0.00022,0.00076,0.00041,0.00019,0.0006,0.00066,0.00044,0.00042,0.00026,0.0001,0.00022,0.00032,0.00032,0.00025,0.00073,0.00035,0.00035,0.0002,0.00032,0.00023,0.00013,0.00031,0.00041,0.0002,0.00042,0.00024,0.00036,0.00025,0.00032,0.00017,0.00028
1500,0.0004,0.00033,0.00022,0.00051,0.00078,0.00032,0.00043,0.00039,0.00011,0.00044,0.0004,0.00033,0.00022,0.00051,0.00078,0.00032,0.00043,0.00039,0.00011,0.00044,0.00018,0.00029,0.00022,0.00039,0.00025,0.00018,9.3e-05,0.00021,0.00023,0.00018,0.00018,0.00028,0.00019,0.00035,0.00024,0.00012,0.00033,0.00025,0.00026,0.00038
1600,0.00055,0.00037,0.00017,0.00048,0.001,0.00056,0.0006,0.00048,0.00014,0.0004,0.00055,0.00037,0.00017,0.00048,0.001,0.00056,0.0006,0.00048,0.00014,0.0004,0.00027,0.00014,0.00015,0.00026,0.0001,0.00031,0.00021,0.00033,0.00019,0.00016,0.00027,0.00031,7.6e-05,0.0003,0.0001,0.00021,0.00027,0.0002,0.00019,0.00028
1700,0.00047,0.0006,0.0002,0.00075,0.00051,0.00028,0.00025,0.00019,0.00014,0.00038,0.00047,0.0006,0.0002,0.00075,0.00051,0.00028,0.00025,0.00019,0.00014,0.00038,0.0002,0.00017,0.00014,0.00064,7.4e-05,0.00018,0.00015,0.00013,0.00012,0.00019,0.00019,0.00042,0.00015,0.00041,7.6e-05,0.00014,0.00017,0.00016,0.00015,0.00036
1800,0.00043,0.00039,0.00022,0.00037,0.0013,0.00032,0.00051,0.00033,9.8e-05,0.00025,0.00043,0.00039,0.00022,0.00037,0.0013,0.00032,0.00051,0.00033,9.8e-05,0.00025,0.00016,0.00013,0.00015,0.00029,0.00017,0.00019,0.00014,0.00015,0.00014,0.00012,0.00019,0.00017,0.00017,0.00031,0.00012,0.00016,0.00024,0.00019,0.00011,0.00024
1900,0.00038,0.00029,0.00012,0.00074,0.0004,0.00025,0.00054,0.00052,5.9e-05,0.00023,0.00038,0.00029,0.00012,0.00074,0.0004,0.00025,0.00054,0.00052,5.9e-05,0.00023,0.00012,9.3e-05,0.00013,0.00053,5.8e-05,0.00024,0.00028,0.00021,8e-05,9.8e-05,0.00011,9e-05,8.2e-05,0.00055,7.3e-05,0.00014,0.0003,0.00026,6.5e-05,0.00015
2000,0.00028,0.00057,0.00026,0.00034,0.0007,0.0002,0.00023,0.00024,0.00016,0.00023,0.00028,0.00057,0.00026,0.00034,0.0007,0.0002,0.00023,0.00024,0.00016,0.00023,9.3e-05,0.00011,6.8e-05,0.00034,0.00019,0.00023,0.00013,0.00019,0.00015,0.00011,0.0001,0.00019,0.00012,0.00026,0.00021,0.0002,0.00021,0.00016,0.00013,0.00022
2100,0.00044,0.00046,0.00014,0.00041,0.0008,0.00037,0.00025,0.00036,9.4e-05,0.00029,0.00034,0.00059,0.00025,0.00057,0.0006,0.00045,0.00038,0.00052,0.00019,0.00023,0.0001,0.0001,0.00011,0.00031,0.00017,0.00017,0.00013,0.00012,8.9e-05,0.00011,0.0001,0.00032,0.00014,0.00022,9.1e-05,9.6e-05,0.00022,0.00013,0.00012,0.00023
2200,0.00039,0.00023,0.00018,0.00047,0.00044,0.00022,0.00026,0.00031,9.1e-05,0.00021,0.00033,0.00069,0.0002,0.00042,0.00044,0.00031,0.00052,0.00034,0.00015,0.00026,0.00014,8.2e-05,0.00016,0.00024,6.6e-05,0.00013,7.2e-05,0.00018,9e-05,8.4e-05,0.00013,0.00018,0.00018,0.00016,6.2e-05,6.3e-05,0.00013,0.00011,0.00015,0.00014
2300,0.00029,0.00033,9.3e-05,0.00045,0.00078,0.00019,0.00041,0.00017,6.3e-05,0.00025,0.0011,0.00039,0.00012,0.00057,0.00054,0.00058,0.0003,0.00026,0.00014,0.00023,0.00012,0.00011,0.0001,0.00038,0.00013,0.00013,0.00017,0.00013,0.0001,7.8e-05,7.2e-05,7.2e-05,0.00012,0.00013,5.9e-05,0.0001,9.8e-05,9e-05,0.00013,0.00011
2400,0.00033,0.00038,0.00024,0.00035,0.00044,0.00019,0.00024,0.00035,0.00012,0.00024,0.00037,0.00036,0.00019,0.00052,0.00053,0.00062,0.00034,0.00034,0.00013,0.00021,0.00014,0.0001,0.00018,0.00016,8.6e-05,0.00014,7.9e-05,0.00015,0.00015,9.1e-05,6.7e-05,0.00011,6.3e-05,0.00023,0.0001,9.2e-05,0.00014,0.00024,0.00014,0.00015
2500,0.00041,0.00028,7.2e-05,0.00027,0.00055,0.00022,0.00028,0.00036,9.9e-05,0.00028,0.00042,0.00028,0.00019,0.00046,0.00062,0.00035,0.00028,0.00027,0.00017,0.00019,0.00011,6.7e-05,4.7e-05,0.00016,8.8e-05,7.9e-05,6.5e-05,0.00011,0.00011,7.7e-05,0.00012,6.6e-05,9.7e-05,0.00021,7.7e-05,0.00012,0.00015,0.00012,0.00015,0.00014
2600,0.0003,0.00026,5e-05,0.00082,0.00046,0.00014,0.00019,0.00016,0.0001,0.0002,0.00032,0.0003,0.00022,0.00033,0.00044,0.00025,0.00024,0.0003,0.00011,0.00017,9.3e-05,4.4e-05,7.8e-05,0.00031,5e-05,0.00012,6.1e-05,8.5e-05,0.00012,6.4e-05,5.2e-05,0.0001,0.00011,8.5e-05,7e-05,7.6e-05,0.00018,0.00015,0.00013,0.0001
2700,0.00028,0.00027,9.9e-05,0.00032,0.00058,0.0001,0.00015,0.00038,0.00014,0.00017,0.00027,0.00044,6e-05,0.00028,0.00041,0.00021,0.00016,0.00027,0.00017,0.00013,7.4e-05,6.5e-05,5.5e-05,0.00018,8.4e-05,8.1e-05,7.8e-05,0.00017,0.00012,5.7e-05,5.4e-05,0.00014,9e-05,9.5e-05,0.00011,0.00011,7.9e-05,0.00011,6.7e-05,5.8e-05
2800,0.00036,0.00024,5.4e-05,0.00033,0.00039,0.00011,0.00011,0.00049,5.7e-05,0.00019,0.00019,0.00035,0.00011,0.00043,0.00036,0.00024,7.8e-05,0.00023,0.00012,0.00014,0.00012,4.1e-05,6.6e-05,0.0002,3.4e-05,6.3e-05,2.8e-05,0.00012,8e-05,3.5e-05,4.4e-05,6.5e-05,8.5e-05,0.00015,0.00015,7.1e-05,9.8e-05,0.00012,6.7e-05,0.00012
2900,0.00018,0.0004,8.1e-05,0.00026,0.0005,6.9e-05,0.00019,0.00041,6.2e-05,0.00018,0.00019,0.00035,0.00015,0.0003,0.00052,0.00011,0.00017,0.00032,0.0001,0.00015,4.3e-05,5.7e-05,5.8e-05,0.00018,5.9e-05,7.6e-05,7.3e-05,0.00011,5.3e-05,8.2e-05,6.2e-05,4.3e-05,0.00011,9.8e-05,8.9e-05,5.1e-05,7.9e-05,0.00013,0.00017,8.6e-05
3000,0.0003,0.00023,6.4e-05,0.00026,0.00055,0.00015,0.00014,0.00016,0.00013,0.00011,0.0002,0.00027,0.00012,0.00027,0.00034,0.00012,0.00011,0.00012,9.6e-05,0.00019,0.00011,7.7e-05,4.1e-05,0.00014,0.00013,9.2e-05,7.8e-05,9.5e-05,0.00011,2.7e-05,5.3e-05,7.4e-05,7.2e-05,0.00011,8.9e-05,6.1e-05,9.4e-05,8.5e-05,3.8e-05,8.1e-05
3100,0.0002,0.00031,7.5e-05,0.0002,0.00039,0.00014,0.00013,0.00024,5.9e-05,0.00023,0.00022,0.00027,7.5e-05,0.00037,0.00024,0.00012,9.6e-05,0.00023,8.5e-05,9e-05,8e-05,7e-05,2.7e-05,0.00012,3e-05,7.5e-05,0.00011,0.00013,6.6e-05,7e-05,4.7e-05,6.9e-05,8.1e-05,8.1e-05,6e-05,4.2e-05,0.00011,4.5e-05,9.4e-05,8.7e-05
3200,0.00012,0.00017,0.00017,0.00023,0.00036,0.00021,0.00016,0.00017,7.9e-05,0.00022,0.0002,0.00046,6.4e-05,0.00021,0.00038,0.00011,5.5e-05,0.00019,0.00011,0.00018,2.9e-05,3.4e-05,7.2e-05,8.5e-05,4e-05,4.3e-05,6.3e-05,5.7e-05,0.00011,6.1e-05,8.3e-05,0.00012,6.7e-05,0.00011,5.2e-05,0.00012,0.00011,8.1e-05,4.8e-05,0.00014
3300,0.00026,0.00018,5.5e-05,0.0003,0.00046,0.00017,0.00012,0.00016,8.6e-05,0.00016,0.00022,0.00038,8.6e-05,0.00026,0.00026,8e-05,6.4e-05,0.00017,8.9e-05,0.00011,5.5e-05,3.6e-05,6.4e-05,0.00015,6.1e-05,5.5e-05,6.2e-05,6.5e-05,0.0001,4.2e-05,3.8e-05,6.2e-05,3.3e-05,0.00013,8.9e-05,6.7e-05,5.8e-05,7.9e-05,5.3e-05,7.9e-05
3400,0.00015,0.00016,0.00015,0.00021,0.00031,6.1e-05,9.3e-05,0.00012,7.9e-05,0.00011,0.00016,0.00031,0.0001,0.00017,0.0004,0.00014,4.5e-05,0.00013,7e-05,0.00012,5.6e-05,3.7e-05,6.7e-05,0.0001,3.8e-05,3.9e-05,5.1e-05,4.8e-05,8.3e-05,4e-05,3.3e-05,9.1e-05,8.9e-05,0.00011,8.2e-05,4.9e-05,7e-05,9.6e-05,0.00012,0.00011
3500,0.00015,0.00034,0.00011,0.0002,0.00037,0.00015,6.4e-05,0.00015,8.4e-05,0.00015,0.00019,0.00041,0.00016,0.00022,0.00021,0.00011,7.7e-05,0.00016,8.8e-05,0.00013,5.6e-05,5.2e-05,3.3e-05,0.00013,4e-05,7.4e-05,4.6e-05,8.1e-05,3.1e-05,4.4e-05,2.8e-05,6.4e-05,6.6e-05,7.8e-05,6.7e-05,7.9e-05,7.9e-05,6.1e-05,8.3e-05,0.0001
