iteration,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed20__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed123__rel_l2_error,PINN__seed456__rel_l2_error,PINN__seed487__rel_l2_error,PINN__seed578__rel_l2_error,PINN__seed965__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed20__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed123__rel_l2_error,PINN-RAR__seed456__rel_l2_error,PINN-RAR__seed487__rel_l2_error,PINN-RAR__seed578__rel_l2_error,PINN-RAR__seed965__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed20__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed123__rel_l2_error,QPINN__seed456__rel_l2_error,QPINN__seed487__rel_l2_error,QPINN__seed578__rel_l2_error,QPINN__seed965__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed20__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed123__rel_l2_error,QPINN-RAR__seed456__rel_l2_error,QPINN-RAR__seed487__rel_l2_error,QPINN-RAR__seed578__rel_l2_error,QPINN-RAR__seed965__rel_l2_error
6200,0.0081,0.0082,0.0048,0.012,0.0092,0.01,0.0099,0.015,0.0093,0.014,0.0035,0.0076,0.011,0.019,0.02,0.024,0.0081,0.01,0.0077,0.0052,0.0038,0.0038,0.0052,0.0054,0.004,0.0035,0.0063,0.0042,0.0074,0.0029,0.0045,0.0049,0.0057,0.0068,0.0035,0.011,0.0027,0.0056,0.003,0.0044
6300,0.012,0.012,0.0071,0.034,0.0063,0.017,0.016,0.0065,0.017,0.0063,0.014,0.016,0.016,0.015,0.017,0.012,0.0064,0.025,0.0037,0.011,0.0077,0.0021,0.0042,0.008,0.006,0.006,0.0037,0.0093,0.005,0.0055,0.006,0.008,0.0055,0.0076,0.0072,0.0063,0.0076,0.0029,0.0058,0.011
6400,0.0055,0.026,0.018,0.012,0.016,0.019,0.012,0.0091,0.013,0.17,0.0036,0.016,0.014,0.014,0.0091,0.012,0.013,0.012,0.014,0.0088,0.0068,0.0073,0.0026,0.005,0.0034,0.011,0.0052,0.0044,0.006,0.0042,0.0063,0.0052,0.0021,0.006,0.0045,0.0096,0.0063,0.0043,0.005,0.0065
6500,0.0054,0.011,0.12,0.0096,0.0091,0.008,0.0087,0.006,0.0043,0.0054,0.0086,0.018,0.005,0.007,0.01,0.011,0.0077,0.0086,0.0036,0.014,0.0026,0.0042,0.007,0.0044,0.0028,0.0026,0.0073,0.0074,0.0055,0.0074,0.0053,0.0089,0.0056,0.0078,0.0048,0.0033,0.0045,0.0071,0.0038,0.0047
6600,0.0042,0.042,0.0051,0.016,0.0069,0.0085,0.014,0.0063,0.0094,0.0049,0.012,0.0062,0.012,0.014,0.01,0.0048,0.0067,0.026,0.02,0.017,0.003,0.0032,0.0065,0.0058,0.0046,0.0018,0.006,0.0038,0.0067,0.0046,0.0057,0.005,0.0055,0.0073,0.0077,0.0035,0.0057,0.0043,0.003,0.01
6700,0.0034,0.015,0.011,0.036,0.0066,0.015,0.0089,0.0063,0.019,0.0065,0.0048,0.009,0.0066,0.022,0.0077,0.0077,0.012,0.0076,0.0027,0.012,0.013,0.0037,0.0042,0.0099,0.0064,0.009,0.006,0.0029,0.0035,0.0037,0.0042,0.0058,0.0037,0.006,0.0049,0.011,0.0069,0.006,0.0029,0.0041
6800,0.016,0.013,0.002,0.005,0.0071,0.013,0.014,0.015,0.008,0.0035,0.0071,0.007,0.0032,0.024,0.017,0.0057,0.0076,0.012,0.012,0.01,0.0025,0.0029,0.0049,0.0048,0.0025,0.0045,0.0091,0.0022,0.012,0.0034,0.0055,0.0066,0.0029,0.0033,0.005,0.004,0.0044,0.0051,0.0022,0.012
6900,0.0035,0.01,0.0039,0.011,0.0057,0.0056,0.0037,0.0093,0.012,0.0039,0.006,0.0097,0.011,0.015,0.0084,0.027,0.0093,0.028,0.004,0.0036,0.0029,0.0065,0.0067,0.0068,0.0063,0.0031,0.0032,0.0049,0.0052,0.01,0.0063,0.0088,0.0058,0.0086,0.0041,0.0052,0.0062,0.0066,0.0024,0.008
7000,0.0068,0.0095,0.004,0.016,0.019,0.011,0.029,0.0077,0.012,0.0038,0.0047,0.0067,0.011,0.024,0.0091,0.024,0.0075,0.024,0.009,0.003,0.0045,0.0048,0.0039,0.0052,0.0038,0.0033,0.0029,0.0023,0.004,0.0059,0.003,0.0046,0.0023,0.0056,0.0031,0.0038,0.011,0.0044,0.0067,0.0041
7100,0.0051,0.011,0.0045,0.0093,0.014,0.0086,0.011,0.014,0.01,0.0096,0.0044,0.017,0.0025,0.0059,0.016,0.0067,0.0077,0.013,0.008,0.0034,0.0097,0.0041,0.0087,0.0051,0.0024,0.014,0.0068,0.0022,0.0087,0.0034,0.0028,0.0036,0.01,0.006,0.0041,0.015,0.0071,0.0063,0.0026,0.0054
7200,0.02,0.009,0.025,0.0064,0.0064,0.0049,0.0042,0.0072,0.052,0.0066,0.0073,0.0098,0.0037,0.0058,0.0096,0.004,0.016,0.015,0.0041,0.0028,0.0092,0.002,0.0074,0.0039,0.0034,0.0041,0.0041,0.0037,0.0039,0.005,0.0045,0.0069,0.0026,0.0085,0.0038,0.0097,0.0065,0.0028,0.011,0.0026
7300,0.0062,0.017,0.01,0.037,0.0072,0.0074,0.022,0.014,0.0027,0.0096,0.0069,0.0098,0.012,0.0059,0.015,0.017,0.028,0.013,0.0065,0.011,0.0046,0.0048,0.004,0.0077,0.0031,0.006,0.0025,0.0035,0.0031,0.0042,0.006,0.0043,0.0048,0.011,0.0062,0.0052,0.0076,0.0059,0.0033,0.0025
7400,0.0077,0.007,0.018,0.0051,0.017,0.0067,0.0072,0.0095,0.0029,0.0083,0.011,0.012,0.011,0.012,0.0096,0.023,0.018,0.018,0.012,0.0063,0.0046,0.0067,0.0047,0.0051,0.0036,0.005,0.0037,0.0031,0.0033,0.0046,0.0037,0.011,0.0046,0.0046,0.0086,0.0071,0.0045,0.0078,0.0038,0.01
7500,0.0061,0.011,0.0029,0.0035,0.011,0.012,0.018,0.0071,0.0022,0.0067,0.021,0.014,0.012,0.0094,0.016,0.016,0.0047,0.021,0.013,0.012,0.01,0.0023,0.0046,0.0076,0.0061,0.0023,0.0066,0.0019,0.0048,0.0027,0.0036,0.0037,0.0033,0.0072,0.01,0.0037,0.0037,0.0085,0.0056,0.0036
7600,0.0035,0.0092,0.0037,0.0067,0.017,0.014,0.014,0.014,0.0047,0.0045,0.0066,0.016,0.0057,0.014,0.015,0.011,0.0056,0.01,0.017,0.051,0.0073,0.0089,0.002,0.0058,0.0047,0.007,0.0057,0.0072,0.0032,0.0049,0.0035,0.0068,0.0021,0.0059,0.0054,0.0048,0.0067,0.0046,0.0079,0.0045
7700,0.0047,0.013,0.0066,0.0035,0.02,0.0098,0.0095,0.0049,0.006,0.017,0.016,0.011,0.005,0.017,0.012,0.02,0.0029,0.016,0.014,0.0082,0.0039,0.0053,0.0061,0.007,0.0058,0.0048,0.0029,0.0051,0.0051,0.0037,0.0074,0.0071,0.0053,0.0095,0.006,0.0026,0.0053,0.0069,0.0064,0.0085
7800,0.0051,0.015,0.0087,0.007,0.0095,0.015,0.0079,0.022,0.0035,0.015,0.013,0.0097,0.01,0.007,0.0084,0.0057,0.0058,0.017,0.0044,0.012,0.0031,0.003,0.0027,0.0042,0.0022,0.0033,0.0062,0.0056,0.0068,0.0031,0.0046,0.0021,0.0041,0.0067,0.0058,0.0038,0.0063,0.0035,0.0036,0.0039
7900,0.019,0.012,0.016,0.02,0.0058,0.0045,0.011,0.012,0.0096,0.01,0.0097,0.0044,0.0076,0.038,0.015,0.0034,0.0067,0.014,0.0058,0.0098,0.0062,0.0033,0.0035,0.0051,0.0043,0.0025,0.0075,0.0046,0.0028,0.0078,0.0087,0.0033,0.0027,0.01,0.006,0.0053,0.003,0.0047,0.0058,0.0049
8000,0.016,0.0044,0.0071,0.011,0.018,0.023,0.017,0.0076,0.0059,0.2,0.0055,0.015,0.0041,0.0046,0.0076,0.0046,0.014,0.013,0.005,0.0035,0.0026,0.0042,0.009,0.0054,0.0044,0.0017,0.0052,0.0045,0.003,0.011,0.0024,0.0049,0.0029,0.0048,0.006,0.0081,0.0061,0.0056,0.0041,0.0081
8100,0.012,0.014,0.0088,0.011,0.011,0.012,0.0075,0.013,0.0022,0.0038,0.0049,0.02,0.0032,0.0074,0.0081,0.005,0.0085,0.017,0.005,0.0051,0.004,0.0025,0.0039,0.0055,0.0022,0.011,0.0041,0.0046,0.003,0.0079,0.0023,0.0066,0.0044,0.0064,0.0028,0.0069,0.0038,0.01,0.0051,0.0047
8200,0.0025,0.0048,0.009,0.0055,0.015,0.0039,0.0043,0.013,0.0053,0.0022,0.0089,0.01,0.0061,0.0072,0.006,0.0061,0.003,0.0084,0.015,0.0052,0.0022,0.0075,0.005,0.0057,0.0059,0.002,0.0041,0.0063,0.0055,0.0025,0.0032,0.006,0.0079,0.0098,0.011,0.008,0.0061,0.0043,0.0024,0.0024
8300,0.014,0.0072,0.0023,0.017,0.014,0.0098,0.0037,0.0068,0.021,0.0041,0.018,0.0062,0.0036,0.0067,0.0073,0.017,0.011,0.0065,0.0027,0.0085,0.0034,0.0057,0.0033,0.007,0.0029,0.003,0.003,0.0031,0.0051,0.0036,0.0026,0.0045,0.0069,0.009,0.0075,0.0096,0.0057,0.0057,0.0032,0.0023
8400,0.013,0.019,0.0038,0.02,0.0081,0.0054,0.0076,0.0077,0.0072,0.004,0.0095,0.0074,0.023,0.014,0.011,0.0051,0.0062,0.008,0.025,0.0066,0.0038,0.0055,0.0025,0.0064,0.0029,0.0063,0.0055,0.003,0.01,0.0054,0.003,0.0029,0.0019,0.0043,0.0035,0.0047,0.0051,0.0068,0.0025,0.011
8500,0.0051,0.0041,0.0057,0.023,0.014,0.0032,0.0071,0.018,0.0069,0.006,0.0096,0.013,0.0069,0.0046,0.0051,0.005,0.0073,0.017,0.11,0.0056,0.0067,0.0027,0.0038,0.0053,0.0028,0.0027,0.0028,0.0033,0.0022,0.0063,0.0038,0.0039,0.0056,0.0035,0.0048,0.0074,0.0057,0.0058,0.0042,0.0034
8600,0.0032,0.016,0.0056,0.0023,0.014,0.012,0.015,0.0055,0.0033,0.0071,0.013,0.007,0.0063,0.01,0.0045,0.0095,0.0025,0.0077,0.0039,0.013,0.0039,0.0068,0.0025,0.0071,0.0045,0.0032,0.004,0.0038,0.0019,0.0033,0.0046,0.007,0.005,0.0025,0.004,0.0073,0.0046,0.0022,0.0034,0.0043
8700,0.0047,0.0088,0.0028,0.026,0.021,0.017,0.0094,0.01,0.0059,0.0074,0.0059,0.0083,0.0086,0.021,0.017,0.026,0.011,0.0069,0.0046,0.0032,0.0063,0.0037,0.0021,0.0082,0.0035,0.0049,0.0047,0.0061,0.0059,0.0033,0.0052,0.0038,0.0028,0.0073,0.0035,0.0023,0.0048,0.0062,0.0028,0.0056
8800,0.0068,0.018,0.0054,0.015,0.015,0.0059,0.015,0.0037,0.011,0.04,0.0058,0.0063,0.0026,0.012,0.015,0.0088,0.015,0.018,0.0072,0.0086,0.0051,0.0066,0.0037,0.012,0.0034,0.006,0.0037,0.0075,0.0037,0.0096,0.0039,0.0019,0.0046,0.0058,0.005,0.0041,0.0031,0.005,0.0027,0.0049
8900,0.0027,0.011,0.015,0.0066,0.0051,0.0085,0.013,0.013,0.0055,0.0026,0.018,0.005,0.0065,0.018,0.013,0.013,0.0072,0.018,0.0026,0.0041,0.0049,0.0059,0.0026,0.0047,0.0037,0.0044,0.0065,0.0072,0.0071,0.0027,0.0039,0.01,0.0039,0.0066,0.0092,0.0046,0.0053,0.0026,0.004,0.0045
9000,0.009,0.0045,0.0077,0.011,0.023,0.0044,0.014,0.0072,0.012,0.0052,0.013,0.011,0.006,0.0048,0.0034,0.011,0.0088,0.0088,0.0038,0.006,0.0025,0.0047,0.0043,0.0046,0.0028,0.0086,0.0078,0.0033,0.0059,0.005,0.0028,0.0029,0.0033,0.0085,0.0063,0.0053,0.0033,0.006,0.0049,0.006
9100,0.013,0.0077,0.0059,0.021,0.0058,0.0096,0.0071,0.013,0.0051,0.0039,0.0068,0.0023,0.008,0.0043,0.011,0.0069,0.01,0.013,0.0052,0.0037,0.0056,0.0039,0.0036,0.0064,0.0024,0.005,0.0051,0.0042,0.005,0.0036,0.0044,0.0024,0.0036,0.0027,0.0036,0.0028,0.0054,0.0041,0.0058,0.0032
9200,0.013,0.0047,0.0087,0.011,0.0093,0.007,0.0075,0.01,0.007,0.0075,0.0097,0.018,0.0021,0.013,0.0073,0.015,0.0047,0.0055,0.0049,0.0059,0.0037,0.0078,0.0044,0.0036,0.0047,0.0019,0.0031,0.0043,0.0047,0.0044,0.0053,0.0035,0.0041,0.0035,0.0048,0.0066,0.0037,0.0051,0.0059,0.0049
9300,0.013,0.0037,0.003,0.036,0.03,0.0045,0.0083,0.0063,0.021,0.015,0.014,0.0028,0.0068,0.018,0.0084,0.012,0.0081,0.0085,0.0045,0.0029,0.0034,0.0087,0.0051,0.0057,0.0023,0.0085,0.0041,0.0082,0.004,0.0027,0.0031,0.0025,0.0048,0.0026,0.0035,0.0068,0.0081,0.002,0.002,0.0059
9400,0.0083,0.012,0.016,0.0079,0.013,0.011,0.0029,0.01,0.0023,0.0038,0.0054,0.0088,0.0059,0.009,0.0081,0.0061,0.01,0.006,0.02,0.0039,0.002,0.004,0.0052,0.0086,0.0024,0.0064,0.0049,0.0038,0.0032,0.003,0.0033,0.0045,0.0037,0.0025,0.0071,0.0049,0.0045,0.0056,0.0026,0.0026
9500,0.0077,0.012,0.0042,0.0064,0.0089,0.0087,0.0073,0.0049,0.0095,0.0036,0.0062,0.0093,0.012,0.013,0.022,0.0097,0.025,0.021,0.017,0.013,0.0052,0.0028,0.0057,0.0071,0.0042,0.0021,0.005,0.0028,0.0069,0.0028,0.0052,0.0028,0.0036,0.0061,0.0037,0.0047,0.0026,0.0043,0.0032,0.004
9600,0.0032,0.0028,0.0025,0.0049,0.013,0.015,0.0043,0.0075,0.0045,0.0048,0.0053,0.011,0.0027,0.011,0.015,0.0064,0.0045,0.012,0.0082,0.018,0.0043,0.004,0.0024,0.0059,0.0038,0.0017,0.0058,0.0031,0.0036,0.0044,0.0047,0.0037,0.0043,0.0042,0.0037,0.0028,0.0066,0.0047,0.0023,0.0058
9700,0.0041,0.0033,0.0053,0.021,0.018,0.024,0.0059,0.016,0.0063,0.0034,0.0076,0.0044,0.0079,0.012,0.0037,0.0065,0.0033,0.015,0.0072,0.028,0.0046,0.0078,0.0047,0.0039,0.0036,0.0044,0.0072,0.0044,0.0053,0.0044,0.0036,0.0042,0.0028,0.0035,0.0056,0.009,0.0056,0.0028,0.0049,0.0046
9800,0.0025,0.017,0.0079,0.0037,0.0064,0.011,0.01,0.017,0.0047,0.009,0.0056,0.012,0.013,0.011,0.016,0.017,0.0057,0.012,0.003,0.0092,0.0055,0.0021,0.0025,0.0055,0.002,0.0043,0.0069,0.0035,0.005,0.0026,0.0028,0.0049,0.0051,0.0072,0.004,0.0039,0.0029,0.0055,0.0028,0.0076
9900,0.0048,0.006,0.011,0.0055,0.013,0.0026,0.016,0.012,0.012,0.0042,0.0049,0.013,0.0068,0.027,0.0071,0.0033,0.007,0.0044,0.0055,0.033,0.0022,0.0072,0.0026,0.0048,0.0034,0.0025,0.0049,0.0038,0.01,0.0023,0.0051,0.0033,0.0071,0.0029,0.0063,0.0023,0.0079,0.0043,0.0024,0.006
10001,0.002013787,0.002739999,0.002923438,0.002193615,0.01905312,0.002409414,0.002046512,0.00339116,0.002058928,0.003062893,0.003326622,0.001817243,0.002505121,0.002814425,0.004000092,0.002422784,0.003837357,0.003791418,0.002706443,0.00331415,0.003132591,0.001853648,0.001883303,0.002695665,0.001782304,0.006355948,0.003943817,0.002328856,0.002904834,0.002869048,0.002114671,0.002332757,0.002680966,0.003364472,0.004713239,0.00383927,0.003032889,0.003619225,0.001986193,0.00236807
10100,0.001042105,0.001286833,0.001387922,0.001471431,0.001833838,0.001308357,0.001542912,0.002276553,0.001026652,0.001378963,0.001084797,0.001273581,0.00143776,0.001359352,0.001536108,0.001279095,0.001369004,0.002503969,0.0009453126,0.0008964968,0.000988584,0.0006164403,0.001254918,0.002054783,0.001109191,0.0004583214,0.001086538,0.001431748,0.001168563,0.001060343,0.001347513,0.00106573,0.001278249,0.001725008,0.001484011,0.001266271,0.001304096,0.001073377,0.001936688,0.001310418
10200,0.0005010843,0.0009947589,0.001218323,0.00133835,0.00114176,0.0008797236,0.00122719,0.001688605,0.0008058899,0.001416337,0.0006108002,0.0007184432,0.001038701,0.001331433,0.001328611,0.0008103191,0.001086356,0.00171439,0.0007465135,0.000641497,0.0007407157,0.0005290522,0.0007544961,0.001652862,0.001001689,0.00026656,0.000834714,0.0005772709,0.0006887019,0.0006453026,0.001200834,0.000623159,0.0008719058,0.001462646,0.000993804,0.0008510467,0.000996984,0.001004772,0.0009161832,0.0008987856
10210,,,,,,,,,,,,,,,,,,,,,,,,,,0.00023390000000000002,,,,,,,,,,,,,,
10280,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005472,,,,,,,,,,,,,
10283,,,,,,,,,,,,,,,,,,,0.0005115,,,,,,,,,,,,,,,,,,,,,
10300,0.000302144,0.0005644106,0.0008171274,0.0009855183,0.000866681,0.0007651037,0.000912347,0.0009351799,0.0005214807,0.0006365642,0.0003377491,0.000374112,0.0006165485,0.0009184945,0.0009926133,0.000588147,0.0008373391,0.0009616008,,0.0005749593,0.0005468779,0.0002689069,0.0005268659,0.001242933,0.0005145988,,,0.0002151963,0.0004420181,0.0005045694,0.0008528034,0.0004721494,0.0005093684,0.001049209,0.0007006164,0.0007878681,0.000789384,0.0004854135,0.0007680375,0.0004680305
10342,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000271,,,,,,,,,,,,
10388,,,,,,,,,,,,,,,,,,,,0.0002312,,,,,,,,,,,,,,,,,,,,
10400,0.0002207095,0.0002917495,0.0007397387,0.0006328886,0.0008651374,0.0005024733,0.0007373476,0.0007853922,0.000392753,0.0004202218,0.0002189715,0.0003418744,0.0004911351,0.0006670692,0.0008461671,0.0004204377,0.0005598651,0.0006767338,,,0.0003474401,0.0002112613,0.0004944106,0.001025784,0.0003039834,,,,0.0003423573,0.000417032,0.0004327112,0.0003078529,0.0003027629,0.0007753203,0.0006757681,0.0005187064,0.0005371239,0.0004042451,0.000438661,0.0002857455
10401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003867,,
10429,,,,,,,,,,,,,,,,,,,,,,0.0002063,,,,,,,,,,,,,,,,,,
10444,,,,,,,,,,,,,,,,,,,,,,,0.00036990000000000005,,,,,,,,,,,,,,,,,
10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001848,,,,,,,,
10498,,,,,,,,,,,,,,,,,,,,,,,,,0.0002615,,,,,,,,,,,,,,,
10500,0.0001563569,0.0002333692,0.0005215089,0.0004669693,0.0007542105,0.0003862401,0.000636162,0.0006570784,0.0003328238,0.0003542505,0.0001451492,0.0002384713,0.0004173688,0.000473903,0.0007621172,0.0002891803,0.0005984512,0.0005303695,,,0.0002931478,,,0.0009515469,,,,,0.0003231465,0.0002649569,0.0002567763,,0.0003075231,0.0005389018,0.0004026579,0.000443552,0.0003843433,,0.0003879297,0.0002018445
10544,,,,0.0004588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10565,,,,,,,,,,,,,,,,,,,,,0.0002562,,,,,,,,,,,,,,,,,,,
10597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013639999999999998
10600,0.0001523701,0.0002283412,0.0005877355,,0.0005057526,0.0003076842,0.0004728457,0.0004252667,0.0002854248,0.0002770697,0.0001504725,0.0002650534,0.0003172476,0.0003954038,0.0006988439,0.0002856433,0.0004893782,0.0004217974,,,,,,0.0007568115,,,,,0.0002483577,0.0002372504,0.0002019883,,0.0001944529,0.0003893978,0.0004587695,0.0003314302,0.0002550226,,0.0002722986,
10605,,,,,,,,,,,,,,0.0003719,,,,,,,,,,,,,,,,,,,,,,,,,,
10614,,,,,,,,,,,,,0.0003023,,,,,,,,,,,,,,,,,,,,,,,,,,,
10617,,0.000194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002579,,,
10640,,,,,,,,,,0.0002844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671,,,,,,,,,0.00020740000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001727,,,,,,,,,,
10700,0.0001392481,,0.0005250864,,0.0006000543,0.0003645406,0.0004041202,0.0003403394,,,0.0001064467,0.0002512457,,,0.0003901801,0.0002652731,0.0004038945,0.0003094557,,,,,,0.0007312341,,,,,0.0002344716,,0.0001616999,,0.0001699645,0.000293677,0.0004096357,0.0002548398,,,0.0001868683,
10737,,,,,,,,,,,9.787000000000001e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001612,,,,,,,
10747,,,,,0.0004362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001462,,,,,,,,,
10800,0.0001294515,,0.0003969299,,,0.000311985,0.000395618,0.0003248954,,,,0.0001886617,,,0.0002978168,0.0002546659,0.0003589943,0.00024352,,,,,,0.0006640624,,,,,0.0001806507,,,,,0.0002574145,0.0003716388,0.0002056478,,,0.0001659466,
10817,,,,,,,,,,,,0.00018610000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10823,,,,,,,0.0003837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10828,0.00012529999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002765,,,,,,
10861,,,,,,,,0.00031800000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,,,0.0003763075,,,0.0003648451,,,,,,,,,0.0002629927,0.0002467009,0.0003393705,0.0001829565,,,,,,0.0005502948,,,,,0.0001530259,,,,,,0.0002276575,0.0001770349,,,0.0001612345,
10946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001797,,,,
11000,,,0.0003428485,,,0.0002331905,,,,,,,,,0.0001754671,0.0002840674,0.0003663576,0.0001917661,,,,,,0.0004561937,,,,,0.0001497766,,,,,,0.0001859132,,,,0.0001439966,
11043,,,0.0003029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001464,,,,,,0.0001859,,,,,
11100,,,,,,0.0002517886,,,,,,,,,0.0001693829,0.0002752472,0.000366431,0.0001931015,,,,,,0.0002961927,,,,,,,,,,,,,,,0.0001353667,
11160,,,,,,0.0002606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,,,,,,,,,,,,,,,0.0001875349,0.0002605226,0.0002802168,0.0001642505,,,,,,0.0002109511,,,,,,,,,,,,,,,0.0001124859,
11205,,,,,,,,,,,,,,,0.0001857,,,,,,,,,,,,,,,,,,,,,,,,,
11243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001099,
11254,,,,,,,,,,,,,,,,0.00025309999999999997,,,,,,,,,,,,,,,,,,,,,,,,
11300,,,,,,,,,,,,,,,,,0.0001950342,0.0001502825,,,,,,0.0002418592,,,,,,,,,,,,,,,,
11365,,,,,,,,,,,,,,,,,,0.0001454,,,,,,,,,,,,,,,,,,,,,,
11400,,,,,,,,,,,,,,,,,0.0001622566,,,,,,,0.0002075242,,,,,,,,,,,,,,,,
11440,,,,,,,,,,,,,,,,,,,,,,,,0.0001857,,,,,,,,,,,,,,,,
11500,,,,,,,,,,,,,,,,,0.0001442734,,,,,,,,,,,,,,,,,,,,,,,
11600,,,,,,,,,,,,,,,,,0.0001365875,,,,,,,,,,,,,,,,,,,,,,,
11632,,,,,,,,,,,,,,,,,0.000129,,,,,,,,,,,,,,,,,,,,,,,
