iteration,PINN__seed1__rel_l2_error,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed10__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed68__rel_l2_error,PINN__seed79__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed203__rel_l2_error,PINN__seed3407__rel_l2_error,PINN-RAR__seed1__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed10__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed68__rel_l2_error,PINN-RAR__seed79__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed203__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,QPINN__seed1__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed10__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed68__rel_l2_error,QPINN__seed79__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed203__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN-RAR__seed1__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed10__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed68__rel_l2_error,QPINN-RAR__seed79__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed203__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error
0,1.7,1.3,1.8,1.3,0.99,1.4,2.0,1.1,2.7,1.2,1.7,1.3,1.8,1.3,0.99,1.4,2.0,1.1,2.7,1.2,1.6,1.1,0.92,2.1,1.5,3.0,1.4,1.1,2.2,1.7,1.6,1.1,1.1,2.1,1.5,3.0,1.1,1.4,1.9,1.7
100,0.77,0.72,0.75,0.71,0.71,0.73,0.74,0.74,0.73,0.75,0.77,0.72,0.75,0.71,0.71,0.73,0.74,0.74,0.73,0.75,0.79,0.8,0.71,0.75,0.83,0.83,0.75,0.76,0.78,0.74,0.8,0.81,0.8,0.79,0.77,0.84,0.76,0.77,0.79,0.75
200,0.71,0.68,0.65,0.6,0.62,0.67,0.6,0.65,0.72,0.72,0.71,0.68,0.65,0.6,0.62,0.67,0.6,0.65,0.72,0.72,0.69,0.72,0.61,0.7,0.74,0.75,0.66,0.66,0.71,0.71,0.71,0.73,0.69,0.68,0.7,0.77,0.66,0.72,0.72,0.72
300,0.7,0.62,0.55,0.55,0.56,0.59,0.49,0.57,0.64,0.61,0.7,0.62,0.55,0.55,0.56,0.59,0.49,0.57,0.64,0.61,0.62,0.62,0.55,0.68,0.69,0.63,0.56,0.57,0.6,0.63,0.63,0.61,0.66,0.57,0.61,0.7,0.59,0.63,0.67,0.69
400,0.62,0.6,0.5,0.48,0.53,0.52,0.44,0.51,0.57,0.59,0.62,0.6,0.5,0.48,0.53,0.52,0.44,0.51,0.57,0.59,0.57,0.58,0.53,0.66,0.64,0.44,0.48,0.52,0.51,0.53,0.57,0.59,0.58,0.53,0.59,0.53,0.53,0.6,0.66,0.69
500,0.5,0.58,0.43,0.44,0.49,0.46,0.41,0.44,0.52,0.54,0.5,0.58,0.43,0.44,0.49,0.46,0.41,0.44,0.52,0.54,0.49,0.56,0.51,0.63,0.57,0.37,0.42,0.46,0.43,0.48,0.53,0.6,0.56,0.52,0.58,0.44,0.46,0.48,0.68,0.66
600,0.43,0.54,0.38,0.42,0.43,0.41,0.43,0.37,0.54,0.46,0.43,0.54,0.38,0.42,0.43,0.41,0.43,0.37,0.54,0.46,0.44,0.55,0.52,0.53,0.5,0.33,0.4,0.4,0.39,0.44,0.52,0.59,0.56,0.51,0.55,0.37,0.43,0.36,0.66,0.61
700,0.37,0.5,0.35,0.38,0.41,0.35,0.36,0.29,0.46,0.42,0.37,0.5,0.35,0.38,0.41,0.35,0.36,0.29,0.46,0.42,0.4,0.54,0.47,0.41,0.44,0.31,0.4,0.36,0.35,0.39,0.5,0.57,0.54,0.51,0.56,0.34,0.42,0.31,0.61,0.52
800,0.37,0.43,0.33,0.41,0.38,0.3,0.34,0.28,0.45,0.38,0.37,0.43,0.33,0.41,0.38,0.3,0.34,0.28,0.45,0.38,0.4,0.52,0.43,0.37,0.39,0.3,0.33,0.33,0.35,0.35,0.5,0.55,0.54,0.53,0.57,0.31,0.33,0.28,0.57,0.44
900,0.31,0.4,0.33,0.35,0.33,0.27,0.32,0.25,0.45,0.34,0.31,0.4,0.33,0.35,0.33,0.27,0.32,0.25,0.45,0.34,0.37,0.49,0.38,0.36,0.38,0.28,0.3,0.33,0.34,0.36,0.46,0.55,0.54,0.51,0.54,0.3,0.33,0.27,0.56,0.35
1000,0.32,0.4,0.28,0.35,0.29,0.25,0.31,0.24,0.41,0.32,0.32,0.4,0.28,0.35,0.29,0.25,0.31,0.24,0.41,0.32,0.36,0.46,0.34,0.31,0.38,0.27,0.29,0.3,0.31,0.34,0.47,0.58,0.53,0.5,0.47,0.3,0.29,0.25,0.53,0.33
1100,0.28,0.38,0.28,0.33,0.29,0.24,0.32,0.22,0.38,0.29,0.28,0.38,0.28,0.33,0.29,0.24,0.32,0.22,0.38,0.29,0.32,0.43,0.3,0.3,0.36,0.26,0.29,0.29,0.3,0.33,0.41,0.56,0.52,0.49,0.35,0.28,0.3,0.23,0.49,0.31
1200,0.29,0.38,0.26,0.32,0.26,0.22,0.35,0.23,0.37,0.3,0.29,0.38,0.26,0.32,0.26,0.22,0.35,0.23,0.37,0.3,0.33,0.4,0.28,0.29,0.35,0.25,0.27,0.29,0.31,0.31,0.41,0.55,0.49,0.5,0.3,0.27,0.28,0.23,0.46,0.28
1300,0.27,0.36,0.22,0.31,0.25,0.22,0.3,0.22,0.34,0.27,0.27,0.36,0.22,0.31,0.25,0.22,0.3,0.22,0.34,0.27,0.32,0.38,0.26,0.29,0.37,0.23,0.26,0.27,0.28,0.31,0.38,0.55,0.5,0.52,0.29,0.26,0.26,0.21,0.41,0.28
1400,0.26,0.34,0.21,0.32,0.24,0.21,0.28,0.21,0.33,0.25,0.26,0.34,0.21,0.32,0.24,0.21,0.28,0.21,0.33,0.25,0.32,0.38,0.24,0.27,0.33,0.22,0.27,0.26,0.28,0.31,0.36,0.56,0.49,0.5,0.27,0.26,0.27,0.21,0.39,0.26
1500,0.22,0.35,0.21,0.32,0.24,0.21,0.3,0.2,0.34,0.24,0.22,0.35,0.21,0.32,0.24,0.21,0.3,0.2,0.34,0.24,0.28,0.37,0.24,0.27,0.35,0.21,0.25,0.24,0.28,0.29,0.35,0.57,0.49,0.51,0.25,0.24,0.25,0.2,0.37,0.25
1600,0.22,0.33,0.21,0.31,0.26,0.18,0.28,0.2,0.33,0.24,0.22,0.33,0.21,0.31,0.26,0.18,0.28,0.2,0.33,0.24,0.28,0.34,0.22,0.25,0.35,0.2,0.26,0.23,0.27,0.28,0.33,0.56,0.44,0.51,0.24,0.26,0.26,0.19,0.36,0.24
1700,0.22,0.31,0.2,0.3,0.21,0.19,0.29,0.2,0.34,0.22,0.22,0.31,0.2,0.3,0.21,0.19,0.29,0.2,0.34,0.22,0.28,0.33,0.21,0.24,0.32,0.2,0.24,0.23,0.28,0.29,0.31,0.57,0.38,0.51,0.22,0.24,0.24,0.2,0.34,0.24
1800,0.22,0.32,0.17,0.31,0.23,0.17,0.29,0.2,0.32,0.23,0.22,0.32,0.17,0.31,0.23,0.17,0.29,0.2,0.32,0.23,0.27,0.33,0.2,0.24,0.35,0.18,0.24,0.22,0.26,0.25,0.29,0.55,0.37,0.5,0.23,0.23,0.24,0.18,0.33,0.26
1900,0.22,0.3,0.17,0.3,0.21,0.19,0.29,0.22,0.3,0.22,0.22,0.3,0.17,0.3,0.21,0.19,0.29,0.22,0.3,0.22,0.26,0.32,0.18,0.25,0.32,0.17,0.23,0.23,0.26,0.28,0.28,0.56,0.35,0.48,0.22,0.21,0.23,0.19,0.31,0.26
2000,0.18,0.28,0.17,0.3,0.21,0.18,0.26,0.19,0.31,0.2,0.18,0.28,0.17,0.3,0.21,0.18,0.26,0.19,0.31,0.2,0.26,0.29,0.18,0.23,0.32,0.16,0.24,0.23,0.25,0.25,0.28,0.55,0.32,0.48,0.22,0.21,0.25,0.18,0.3,0.23
2100,0.2,0.28,0.17,0.31,0.22,0.17,0.25,0.18,0.3,0.19,0.26,0.36,0.21,0.31,0.24,0.22,0.27,0.21,0.33,0.22,0.26,0.3,0.17,0.22,0.32,0.16,0.21,0.22,0.25,0.26,0.27,0.55,0.31,0.45,0.24,0.25,0.23,0.19,0.3,0.24
2200,0.18,0.26,0.16,0.31,0.21,0.16,0.26,0.19,0.29,0.22,0.23,0.3,0.22,0.29,0.25,0.26,0.24,0.23,0.32,0.2,0.24,0.29,0.16,0.23,0.33,0.16,0.23,0.22,0.26,0.24,0.26,0.56,0.29,0.43,0.23,0.22,0.25,0.19,0.3,0.25
2300,0.19,0.26,0.16,0.28,0.21,0.16,0.25,0.18,0.28,0.2,0.2,0.29,0.22,0.29,0.23,0.22,0.24,0.19,0.28,0.19,0.24,0.28,0.15,0.22,0.3,0.16,0.22,0.21,0.26,0.25,0.27,0.56,0.27,0.43,0.21,0.21,0.23,0.19,0.29,0.25
2400,0.19,0.25,0.15,0.28,0.19,0.15,0.23,0.18,0.26,0.18,0.2,0.28,0.21,0.28,0.2,0.22,0.24,0.17,0.26,0.19,0.23,0.28,0.16,0.23,0.3,0.15,0.21,0.21,0.23,0.23,0.26,0.52,0.26,0.39,0.2,0.22,0.22,0.17,0.28,0.25
2500,0.17,0.26,0.17,0.27,0.21,0.16,0.24,0.17,0.26,0.18,0.19,0.26,0.18,0.27,0.2,0.21,0.27,0.17,0.24,0.18,0.24,0.27,0.15,0.2,0.3,0.15,0.22,0.2,0.24,0.23,0.23,0.53,0.24,0.38,0.21,0.22,0.25,0.18,0.27,0.24
2600,0.18,0.22,0.14,0.25,0.2,0.17,0.23,0.17,0.27,0.18,0.19,0.25,0.18,0.27,0.19,0.2,0.23,0.18,0.23,0.17,0.24,0.28,0.15,0.21,0.32,0.15,0.21,0.21,0.23,0.22,0.24,0.47,0.24,0.36,0.19,0.19,0.23,0.18,0.27,0.24
2700,0.17,0.23,0.14,0.26,0.19,0.16,0.23,0.16,0.24,0.21,0.19,0.25,0.18,0.27,0.2,0.19,0.23,0.17,0.22,0.18,0.23,0.27,0.14,0.2,0.3,0.15,0.22,0.19,0.23,0.22,0.23,0.46,0.23,0.35,0.19,0.19,0.24,0.17,0.29,0.24
2800,0.18,0.22,0.15,0.26,0.18,0.15,0.24,0.17,0.26,0.17,0.17,0.26,0.16,0.25,0.18,0.2,0.25,0.18,0.23,0.17,0.21,0.26,0.15,0.2,0.27,0.15,0.21,0.21,0.22,0.21,0.21,0.41,0.23,0.34,0.19,0.19,0.22,0.17,0.28,0.25
2900,0.17,0.2,0.17,0.25,0.21,0.13,0.22,0.15,0.22,0.17,0.17,0.25,0.16,0.24,0.18,0.17,0.22,0.17,0.21,0.16,0.22,0.25,0.13,0.2,0.32,0.14,0.2,0.19,0.22,0.21,0.24,0.38,0.22,0.3,0.18,0.2,0.23,0.17,0.27,0.24
3000,0.18,0.2,0.14,0.25,0.19,0.14,0.22,0.15,0.22,0.16,0.16,0.22,0.15,0.23,0.17,0.16,0.23,0.16,0.19,0.16,0.23,0.24,0.15,0.2,0.27,0.14,0.21,0.19,0.21,0.21,0.23,0.37,0.22,0.29,0.19,0.19,0.28,0.17,0.25,0.23
3100,0.18,0.19,0.14,0.23,0.18,0.14,0.21,0.16,0.22,0.17,0.19,0.23,0.16,0.23,0.16,0.17,0.24,0.15,0.2,0.15,0.23,0.25,0.14,0.2,0.29,0.13,0.22,0.19,0.22,0.21,0.2,0.39,0.21,0.28,0.19,0.2,0.23,0.17,0.27,0.22
3200,0.17,0.2,0.13,0.24,0.19,0.13,0.2,0.15,0.21,0.16,0.16,0.22,0.16,0.22,0.17,0.15,0.22,0.15,0.19,0.15,0.2,0.25,0.14,0.19,0.28,0.14,0.2,0.19,0.22,0.2,0.19,0.35,0.2,0.28,0.18,0.18,0.22,0.17,0.25,0.23
3300,0.16,0.18,0.13,0.24,0.18,0.13,0.2,0.14,0.21,0.14,0.16,0.22,0.14,0.21,0.17,0.15,0.23,0.15,0.21,0.15,0.21,0.24,0.13,0.2,0.28,0.14,0.21,0.19,0.21,0.21,0.21,0.36,0.22,0.27,0.18,0.17,0.23,0.17,0.26,0.22
3400,0.17,0.19,0.14,0.22,0.19,0.13,0.21,0.14,0.2,0.15,0.16,0.2,0.14,0.2,0.16,0.15,0.19,0.15,0.19,0.15,0.21,0.24,0.14,0.2,0.27,0.13,0.21,0.19,0.21,0.2,0.19,0.35,0.2,0.26,0.17,0.17,0.24,0.17,0.26,0.23
3500,0.18,0.18,0.13,0.22,0.18,0.14,0.19,0.14,0.19,0.15,0.15,0.2,0.14,0.21,0.16,0.14,0.2,0.13,0.18,0.15,0.21,0.24,0.13,0.2,0.27,0.14,0.21,0.19,0.21,0.19,0.19,0.35,0.21,0.24,0.18,0.17,0.21,0.16,0.24,0.21
3600,0.16,0.17,0.13,0.21,0.18,0.14,0.19,0.13,0.18,0.15,0.15,0.2,0.13,0.2,0.24,0.14,0.2,0.13,0.17,0.15,0.21,0.23,0.12,0.19,0.25,0.13,0.22,0.19,0.21,0.19,0.19,0.32,0.2,0.24,0.18,0.16,0.21,0.15,0.23,0.23
3700,0.16,0.17,0.14,0.21,0.17,0.12,0.2,0.13,0.19,0.15,0.14,0.2,0.13,0.18,0.16,0.15,0.19,0.14,0.19,0.13,0.21,0.23,0.13,0.19,0.26,0.14,0.21,0.19,0.21,0.19,0.18,0.32,0.19,0.23,0.18,0.15,0.23,0.16,0.24,0.21
3800,0.17,0.17,0.13,0.2,0.18,0.13,0.19,0.12,0.17,0.13,0.15,0.19,0.13,0.18,0.15,0.15,0.22,0.12,0.17,0.14,0.2,0.24,0.12,0.18,0.23,0.13,0.2,0.2,0.21,0.18,0.18,0.32,0.21,0.24,0.16,0.14,0.21,0.15,0.22,0.22
3900,0.16,0.18,0.14,0.22,0.18,0.12,0.18,0.12,0.18,0.13,0.15,0.18,0.12,0.18,0.16,0.14,0.19,0.12,0.18,0.13,0.21,0.23,0.13,0.19,0.25,0.13,0.2,0.19,0.21,0.18,0.19,0.3,0.19,0.22,0.17,0.15,0.22,0.15,0.22,0.22
4000,0.15,0.17,0.13,0.19,0.17,0.12,0.18,0.12,0.18,0.13,0.14,0.19,0.15,0.17,0.15,0.14,0.18,0.11,0.19,0.13,0.18,0.22,0.12,0.19,0.24,0.12,0.21,0.19,0.21,0.18,0.18,0.31,0.18,0.2,0.17,0.15,0.23,0.15,0.23,0.22
4100,0.14,0.16,0.14,0.19,0.18,0.11,0.19,0.13,0.16,0.12,0.15,0.2,0.15,0.18,0.17,0.14,0.19,0.12,0.19,0.15,0.19,0.23,0.13,0.19,0.23,0.13,0.2,0.18,0.2,0.17,0.18,0.3,0.18,0.22,0.16,0.15,0.21,0.16,0.24,0.22
4200,0.15,0.17,0.12,0.18,0.19,0.13,0.18,0.11,0.22,0.16,0.17,0.2,0.16,0.17,0.17,0.15,0.2,0.13,0.19,0.14,0.21,0.22,0.13,0.19,0.23,0.13,0.21,0.18,0.21,0.18,0.19,0.29,0.18,0.2,0.17,0.14,0.24,0.16,0.23,0.21
4300,0.15,0.15,0.2,0.2,0.16,0.11,0.18,0.11,0.17,0.13,0.15,0.19,0.14,0.18,0.16,0.12,0.19,0.12,0.17,0.13,0.18,0.21,0.13,0.19,0.23,0.12,0.2,0.18,0.21,0.16,0.17,0.28,0.18,0.19,0.17,0.13,0.23,0.15,0.22,0.2
4400,0.15,0.17,0.12,0.17,0.18,0.15,0.2,0.1,0.15,0.13,0.15,0.19,0.14,0.17,0.15,0.13,0.18,0.13,0.24,0.14,0.21,0.22,0.11,0.18,0.25,0.13,0.2,0.18,0.19,0.17,0.17,0.27,0.18,0.21,0.16,0.13,0.21,0.14,0.23,0.22
4500,0.14,0.16,0.13,0.16,0.17,0.12,0.17,0.11,0.18,0.12,0.14,0.22,0.12,0.16,0.16,0.15,0.19,0.11,0.18,0.15,0.2,0.24,0.12,0.18,0.21,0.12,0.19,0.19,0.2,0.16,0.16,0.27,0.18,0.19,0.17,0.13,0.21,0.15,0.22,0.21
4600,0.14,0.15,0.14,0.17,0.18,0.12,0.17,0.097,0.15,0.11,0.14,0.22,0.12,0.16,0.18,0.12,0.18,0.11,0.18,0.14,0.19,0.23,0.12,0.18,0.23,0.12,0.2,0.18,0.2,0.16,0.17,0.27,0.18,0.18,0.15,0.15,0.22,0.14,0.23,0.21
4700,0.15,0.16,0.12,0.17,0.17,0.13,0.18,0.099,0.14,0.12,0.13,0.17,0.12,0.16,0.15,0.12,0.18,0.11,0.17,0.13,0.19,0.23,0.11,0.18,0.21,0.12,0.2,0.18,0.19,0.16,0.16,0.25,0.18,0.19,0.15,0.12,0.2,0.16,0.22,0.2
4800,0.15,0.15,0.11,0.17,0.17,0.12,0.17,0.099,0.14,0.12,0.14,0.17,0.12,0.14,0.17,0.13,0.18,0.1,0.17,0.12,0.2,0.22,0.13,0.18,0.22,0.12,0.21,0.18,0.19,0.16,0.17,0.25,0.19,0.19,0.15,0.15,0.21,0.14,0.24,0.2
4900,0.14,0.15,0.11,0.18,0.16,0.11,0.16,0.098,0.13,0.11,0.13,0.18,0.18,0.16,0.17,0.12,0.19,0.1,0.18,0.12,0.19,0.2,0.12,0.18,0.25,0.13,0.2,0.18,0.19,0.15,0.18,0.27,0.19,0.18,0.16,0.13,0.2,0.14,0.22,0.2
5000,0.13,0.16,0.12,0.16,0.16,0.1,0.17,0.1,0.14,0.13,0.13,0.19,0.11,0.16,0.14,0.11,0.19,0.1,0.18,0.12,0.18,0.21,0.12,0.18,0.21,0.11,0.19,0.18,0.21,0.15,0.16,0.26,0.17,0.18,0.15,0.12,0.2,0.15,0.21,0.21
5100,0.14,0.15,0.12,0.16,0.16,0.11,0.16,0.092,0.13,0.11,0.15,0.18,0.13,0.16,0.14,0.14,0.18,0.092,0.16,0.13,0.19,0.21,0.11,0.18,0.19,0.11,0.2,0.18,0.19,0.16,0.16,0.24,0.17,0.19,0.15,0.12,0.2,0.14,0.21,0.21
5200,0.14,0.16,0.12,0.15,0.16,0.11,0.16,0.11,0.14,0.11,0.13,0.17,0.18,0.15,0.15,0.12,0.17,0.11,0.15,0.12,0.19,0.21,0.11,0.18,0.2,0.11,0.21,0.18,0.2,0.15,0.16,0.23,0.17,0.17,0.15,0.14,0.2,0.13,0.22,0.2
5300,0.14,0.16,0.11,0.16,0.16,0.11,0.17,0.11,0.16,0.11,0.14,0.2,0.11,0.15,0.16,0.13,0.17,0.086,0.17,0.12,0.19,0.2,0.11,0.17,0.21,0.12,0.21,0.17,0.19,0.15,0.17,0.23,0.18,0.17,0.15,0.13,0.21,0.14,0.21,0.2
5400,0.13,0.17,0.11,0.14,0.17,0.11,0.15,0.098,0.14,0.1,0.13,0.16,0.1,0.14,0.14,0.14,0.17,0.11,0.18,0.11,0.18,0.2,0.11,0.17,0.2,0.11,0.19,0.18,0.2,0.15,0.15,0.22,0.17,0.15,0.13,0.15,0.2,0.13,0.19,0.2
5500,0.13,0.15,0.11,0.15,0.18,0.11,0.17,0.092,0.13,0.1,0.12,0.15,0.1,0.15,0.15,0.11,0.18,0.083,0.15,0.12,0.18,0.2,0.11,0.18,0.2,0.12,0.2,0.16,0.19,0.15,0.16,0.23,0.18,0.16,0.14,0.12,0.23,0.13,0.2,0.21
5600,0.13,0.14,0.11,0.14,0.15,0.11,0.15,0.089,0.13,0.11,0.13,0.17,0.18,0.14,0.14,0.11,0.16,0.089,0.16,0.12,0.18,0.2,0.11,0.17,0.21,0.13,0.19,0.18,0.2,0.15,0.16,0.25,0.16,0.15,0.13,0.13,0.19,0.13,0.2,0.21
5700,0.13,0.15,0.1,0.13,0.15,0.11,0.16,0.092,0.12,0.1,0.12,0.15,0.25,0.13,0.17,0.11,0.16,0.1,0.16,0.11,0.18,0.2,0.1,0.16,0.19,0.13,0.19,0.17,0.2,0.14,0.16,0.23,0.17,0.16,0.13,0.12,0.19,0.13,0.2,0.19
5800,0.13,0.13,0.11,0.13,0.16,0.11,0.16,0.096,0.13,0.11,0.12,0.15,0.098,0.14,0.13,0.12,0.18,0.085,0.15,0.12,0.19,0.19,0.1,0.18,0.21,0.12,0.19,0.18,0.2,0.14,0.15,0.22,0.16,0.14,0.14,0.13,0.19,0.14,0.21,0.2
5900,0.12,0.14,0.094,0.13,0.17,0.099,0.14,0.083,0.13,0.1,0.12,0.16,0.1,0.13,0.13,0.1,0.17,0.086,0.15,0.11,0.19,0.19,0.1,0.17,0.21,0.12,0.21,0.17,0.2,0.14,0.14,0.22,0.16,0.14,0.15,0.11,0.19,0.14,0.18,0.21
6000,0.13,0.14,0.097,0.13,0.15,0.099,0.14,0.079,0.12,0.11,0.11,0.17,0.1,0.14,0.14,0.12,0.16,0.082,0.19,0.099,0.17,0.18,0.1,0.19,0.2,0.11,0.19,0.16,0.18,0.15,0.15,0.23,0.16,0.15,0.13,0.12,0.21,0.13,0.2,0.19
6100,0.13,0.13,0.1,0.13,0.15,0.098,0.15,0.098,0.12,0.13,0.13,0.19,0.11,0.14,0.15,0.12,0.17,0.12,0.19,0.12,0.18,0.19,0.1,0.17,0.2,0.11,0.21,0.17,0.19,0.13,0.15,0.21,0.18,0.16,0.14,0.18,0.19,0.13,0.19,0.19
6200,0.12,0.13,0.095,0.13,0.16,0.096,0.15,0.088,0.15,0.1,0.13,0.16,0.11,0.14,0.14,0.12,0.17,0.081,0.18,0.11,0.18,0.19,0.095,0.16,0.19,0.12,0.2,0.15,0.19,0.14,0.15,0.22,0.16,0.14,0.13,0.13,0.19,0.13,0.2,0.2
6300,0.12,0.13,0.089,0.12,0.16,0.1,0.14,0.085,0.12,0.11,0.12,0.17,0.11,0.14,0.16,0.1,0.16,0.081,0.16,0.12,0.18,0.17,0.099,0.17,0.2,0.11,0.19,0.18,0.18,0.14,0.14,0.21,0.16,0.13,0.12,0.12,0.19,0.13,0.2,0.19
6400,0.13,0.13,0.11,0.13,0.16,0.097,0.14,0.084,0.11,0.09,0.14,0.16,0.1,0.15,0.14,0.14,0.16,0.081,0.15,0.11,0.18,0.19,0.11,0.17,0.19,0.11,0.19,0.16,0.18,0.13,0.17,0.22,0.16,0.13,0.13,0.12,0.18,0.15,0.2,0.19
6500,0.12,0.13,0.091,0.12,0.14,0.1,0.15,0.079,0.16,0.095,0.12,0.16,0.13,0.13,0.14,0.11,0.17,0.073,0.14,0.11,0.17,0.18,0.1,0.17,0.18,0.11,0.2,0.16,0.2,0.13,0.14,0.21,0.17,0.12,0.12,0.13,0.19,0.12,0.2,0.19
6600,0.13,0.13,0.099,0.12,0.14,0.1,0.13,0.075,0.11,0.098,0.11,0.18,0.093,0.14,0.14,0.11,0.15,0.079,0.15,0.12,0.18,0.19,0.1,0.16,0.19,0.1,0.19,0.16,0.18,0.12,0.14,0.21,0.15,0.14,0.12,0.14,0.18,0.13,0.2,0.19
6700,0.12,0.12,0.091,0.12,0.15,0.1,0.13,0.084,0.14,0.1,0.11,0.16,0.13,0.12,0.14,0.11,0.16,0.078,0.15,0.12,0.18,0.18,0.091,0.15,0.19,0.13,0.18,0.16,0.19,0.13,0.14,0.2,0.15,0.11,0.12,0.13,0.19,0.12,0.18,0.19
6800,0.11,0.13,0.1,0.11,0.15,0.089,0.14,0.09,0.12,0.094,0.12,0.18,0.096,0.12,0.13,0.1,0.15,0.09,0.15,0.12,0.18,0.18,0.095,0.18,0.19,0.1,0.18,0.15,0.16,0.13,0.13,0.22,0.16,0.12,0.12,0.15,0.17,0.13,0.19,0.19
6900,0.13,0.12,0.089,0.11,0.16,0.091,0.12,0.07,0.11,0.099,0.11,0.16,0.099,0.12,0.14,0.094,0.16,0.08,0.14,0.1,0.19,0.17,0.095,0.15,0.19,0.099,0.17,0.15,0.18,0.12,0.13,0.19,0.15,0.11,0.13,0.13,0.18,0.12,0.19,0.19
7000,0.11,0.14,0.098,0.12,0.15,0.097,0.13,0.077,0.12,0.1,0.11,0.16,0.093,0.13,0.14,0.1,0.15,0.071,0.16,0.11,0.2,0.18,0.1,0.17,0.19,0.11,0.18,0.14,0.18,0.13,0.13,0.2,0.15,0.12,0.12,0.12,0.17,0.13,0.2,0.2
7100,0.11,0.13,0.086,0.11,0.15,0.094,0.12,0.074,0.11,0.1,0.11,0.15,0.088,0.12,0.13,0.1,0.14,0.075,0.13,0.1,0.18,0.18,0.092,0.17,0.18,0.11,0.18,0.16,0.18,0.13,0.14,0.19,0.14,0.12,0.11,0.13,0.18,0.13,0.19,0.19
7200,0.12,0.12,0.089,0.12,0.16,0.094,0.14,0.091,0.1,0.093,0.1,0.16,0.1,0.12,0.13,0.11,0.14,0.065,0.14,0.11,0.16,0.17,0.091,0.16,0.19,0.11,0.19,0.16,0.17,0.12,0.13,0.19,0.15,0.11,0.13,0.11,0.18,0.14,0.17,0.18
7300,0.13,0.12,0.08,0.1,0.15,0.1,0.12,0.076,0.1,0.1,0.12,0.15,0.092,0.13,0.13,0.1,0.15,0.072,0.14,0.1,0.18,0.16,0.093,0.16,0.18,0.1,0.18,0.15,0.19,0.12,0.13,0.19,0.15,0.1,0.11,0.13,0.18,0.12,0.19,0.19
7400,0.12,0.12,0.093,0.11,0.14,0.089,0.12,0.088,0.1,0.099,0.1,0.14,0.095,0.12,0.13,0.094,0.15,0.085,0.14,0.098,0.16,0.16,0.099,0.17,0.18,0.1,0.18,0.15,0.17,0.13,0.13,0.19,0.15,0.1,0.12,0.11,0.17,0.14,0.19,0.19
7500,0.13,0.11,0.086,0.12,0.16,0.11,0.23,0.085,0.11,0.096,0.11,0.13,0.11,0.11,0.13,0.11,0.14,0.073,0.14,0.1,0.18,0.18,0.098,0.17,0.17,0.1,0.18,0.15,0.16,0.12,0.14,0.17,0.15,0.1,0.12,0.12,0.17,0.12,0.19,0.19
7600,0.11,0.11,0.091,0.1,0.14,0.089,0.12,0.074,0.11,0.095,0.1,0.14,0.15,0.11,0.12,0.093,0.14,0.1,0.16,0.095,0.2,0.17,0.095,0.15,0.18,0.1,0.18,0.16,0.16,0.12,0.12,0.19,0.14,0.093,0.11,0.11,0.18,0.13,0.18,0.18
7700,0.11,0.13,0.078,0.092,0.14,0.089,0.11,0.079,0.094,0.094,0.099,0.13,0.099,0.12,0.12,0.1,0.17,0.081,0.14,0.1,0.17,0.17,0.093,0.16,0.17,0.098,0.16,0.14,0.16,0.12,0.13,0.18,0.15,0.1,0.1,0.11,0.17,0.12,0.17,0.18
7800,0.11,0.12,0.086,0.11,0.14,0.091,0.11,0.08,0.099,0.089,0.099,0.14,0.087,0.11,0.12,0.092,0.14,0.066,0.13,0.091,0.19,0.18,0.093,0.17,0.17,0.1,0.17,0.15,0.16,0.12,0.14,0.18,0.15,0.1,0.11,0.11,0.16,0.11,0.17,0.18
7900,0.11,0.12,0.085,0.1,0.15,0.092,0.14,0.083,0.11,0.098,0.11,0.14,0.079,0.11,0.15,0.1,0.13,0.062,0.16,0.095,0.18,0.17,0.086,0.15,0.17,0.1,0.18,0.15,0.16,0.12,0.12,0.19,0.14,0.098,0.11,0.12,0.17,0.11,0.18,0.19
