iteration,PINN__seed1__rel_l2_error,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed10__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed68__rel_l2_error,PINN__seed79__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed203__rel_l2_error,PINN__seed3407__rel_l2_error,PINN-RAR__seed1__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed10__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed68__rel_l2_error,PINN-RAR__seed79__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed203__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,QPINN__seed1__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed10__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed68__rel_l2_error,QPINN__seed79__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed203__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN-RAR__seed1__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed10__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed68__rel_l2_error,QPINN-RAR__seed79__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed203__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error
8000,0.11,0.11,0.092,0.096,0.17,0.083,0.12,0.079,0.098,0.089,0.1,0.13,0.081,0.11,0.12,0.097,0.17,0.079,0.14,0.09,0.18,0.16,0.091,0.17,0.18,0.11,0.16,0.15,0.15,0.12,0.11,0.17,0.14,0.091,0.11,0.13,0.17,0.12,0.2,0.17
8100,0.11,0.11,0.074,0.098,0.24,0.087,0.11,0.071,0.092,0.091,0.099,0.14,0.087,0.12,0.12,0.099,0.14,0.093,0.14,0.11,0.17,0.16,0.09,0.16,0.17,0.09,0.18,0.13,0.15,0.12,0.13,0.17,0.14,0.087,0.11,0.12,0.17,0.11,0.18,0.18
8200,0.11,0.13,0.088,0.099,0.15,0.093,0.14,0.073,0.13,0.089,0.11,0.15,0.087,0.11,0.14,0.094,0.13,0.066,0.13,0.094,0.17,0.16,0.1,0.16,0.19,0.11,0.17,0.14,0.15,0.11,0.12,0.2,0.16,0.11,0.11,0.11,0.17,0.11,0.17,0.19
8300,0.11,0.11,0.081,0.11,0.15,0.085,0.11,0.086,0.093,0.09,0.095,0.15,0.098,0.1,0.12,0.1,0.14,0.095,0.13,0.11,0.17,0.16,0.091,0.16,0.17,0.1,0.17,0.15,0.14,0.11,0.12,0.18,0.15,0.086,0.1,0.11,0.16,0.11,0.17,0.19
8400,0.1,0.1,0.078,0.095,0.14,0.088,0.12,0.075,0.1,0.093,0.1,0.14,0.087,0.12,0.12,0.1,0.14,0.074,0.14,0.1,0.16,0.16,0.083,0.15,0.17,0.096,0.17,0.14,0.15,0.11,0.12,0.18,0.13,0.093,0.096,0.11,0.17,0.11,0.17,0.18
8500,0.098,0.11,0.083,0.1,0.14,0.085,0.11,0.076,0.095,0.086,0.095,0.14,0.15,0.11,0.11,0.093,0.13,0.07,0.12,0.096,0.16,0.15,0.09,0.15,0.15,0.1,0.16,0.13,0.14,0.11,0.13,0.17,0.15,0.093,0.096,0.13,0.17,0.11,0.17,0.18
8600,0.1,0.11,0.074,0.093,0.17,0.084,0.12,0.1,0.11,0.094,0.1,0.13,0.088,0.11,0.12,0.093,0.13,0.066,0.13,0.092,0.16,0.17,0.087,0.16,0.16,0.1,0.17,0.14,0.14,0.12,0.12,0.18,0.14,0.091,0.099,0.11,0.16,0.12,0.18,0.17
8700,0.12,0.1,0.082,0.096,0.15,0.098,0.12,0.067,0.093,0.095,0.1,0.13,0.089,0.1,0.12,0.088,0.14,0.062,0.12,0.095,0.17,0.15,0.087,0.16,0.16,0.11,0.15,0.14,0.14,0.11,0.13,0.18,0.15,0.094,0.11,0.11,0.15,0.11,0.16,0.19
8800,0.1,0.1,0.081,0.094,0.14,0.084,0.14,0.078,0.087,0.097,0.091,0.14,0.1,0.11,0.13,0.088,0.12,0.068,0.12,0.096,0.16,0.17,0.079,0.15,0.16,0.093,0.17,0.14,0.13,0.12,0.13,0.18,0.13,0.085,0.1,0.099,0.15,0.11,0.18,0.17
8900,0.12,0.12,0.072,0.099,0.15,0.086,0.11,0.065,0.13,0.1,0.1,0.13,0.083,0.12,0.13,0.09,0.15,0.062,0.12,0.1,0.16,0.15,0.085,0.16,0.16,0.092,0.15,0.13,0.13,0.12,0.11,0.19,0.14,0.084,0.098,0.11,0.16,0.12,0.17,0.19
9000,0.11,0.11,0.082,0.086,0.14,0.083,0.11,0.079,0.093,0.1,0.095,0.13,0.078,0.1,0.15,0.11,0.13,0.068,0.14,0.098,0.16,0.15,0.086,0.15,0.16,0.1,0.18,0.14,0.13,0.12,0.13,0.16,0.14,0.091,0.1,0.11,0.16,0.12,0.17,0.17
9100,0.1,0.1,0.086,0.088,0.15,0.084,0.11,0.07,0.087,0.08,0.098,0.14,0.087,0.12,0.11,0.09,0.13,0.061,0.12,0.099,0.16,0.15,0.082,0.17,0.15,0.1,0.16,0.14,0.13,0.1,0.11,0.16,0.14,0.09,0.11,0.11,0.15,0.11,0.18,0.18
9200,0.11,0.097,0.077,0.1,0.15,0.086,0.11,0.068,0.11,0.11,0.091,0.13,0.075,0.11,0.11,0.089,0.13,0.062,0.12,0.095,0.16,0.15,0.088,0.16,0.15,0.11,0.21,0.14,0.12,0.13,0.12,0.18,0.13,0.084,0.11,0.11,0.18,0.11,0.16,0.16
9300,0.1,0.1,0.081,0.091,0.14,0.076,0.11,0.069,0.09,0.098,0.088,0.14,0.084,0.096,0.11,0.079,0.14,0.067,0.11,0.092,0.16,0.15,0.088,0.16,0.17,0.087,0.16,0.13,0.14,0.11,0.12,0.17,0.14,0.091,0.1,0.11,0.15,0.11,0.16,0.17
9400,0.11,0.12,0.077,0.087,0.14,0.083,0.12,0.074,0.093,0.1,0.085,0.13,0.082,0.097,0.11,0.078,0.12,0.057,0.13,0.095,0.17,0.15,0.081,0.15,0.15,0.085,0.16,0.13,0.12,0.1,0.13,0.16,0.13,0.085,0.1,0.11,0.15,0.11,0.16,0.17
9500,0.09,0.091,0.078,0.08,0.14,0.083,0.13,0.071,0.091,0.099,0.093,0.12,0.093,0.099,0.14,0.084,0.13,0.065,0.12,0.095,0.15,0.14,0.08,0.15,0.15,0.092,0.16,0.14,0.13,0.11,0.12,0.15,0.14,0.077,0.097,0.1,0.15,0.11,0.17,0.18
9600,0.098,0.1,0.087,0.12,0.16,0.072,0.11,0.071,0.093,0.088,0.091,0.13,0.081,0.099,0.11,0.083,0.12,0.064,0.14,0.097,0.14,0.14,0.096,0.15,0.15,0.1,0.15,0.13,0.12,0.1,0.11,0.15,0.14,0.081,0.094,0.11,0.15,0.11,0.17,0.17
9700,0.098,0.093,0.077,0.091,0.13,0.11,0.11,0.099,0.086,0.084,0.11,0.12,0.073,0.088,0.12,0.082,0.13,0.064,0.12,0.09,0.16,0.14,0.091,0.16,0.14,0.089,0.17,0.14,0.12,0.11,0.12,0.16,0.13,0.084,0.089,0.11,0.15,0.12,0.16,0.18
9800,0.099,0.091,0.11,0.088,0.16,0.085,0.11,0.068,0.087,0.084,0.1,0.12,0.081,0.091,0.13,0.088,0.14,0.068,0.12,0.084,0.15,0.14,0.088,0.15,0.15,0.097,0.16,0.13,0.12,0.1,0.11,0.18,0.13,0.081,0.089,0.17,0.15,0.11,0.16,0.16
9900,0.097,0.091,0.074,0.11,0.13,0.08,0.11,0.069,0.089,0.1,0.09,0.13,0.088,0.11,0.11,0.089,0.15,0.065,0.12,0.093,0.16,0.14,0.086,0.15,0.15,0.088,0.15,0.14,0.12,0.11,0.1,0.17,0.13,0.079,0.09,0.11,0.14,0.11,0.16,0.17
10001,0.09581114,0.08793554,0.07043245,0.08400865,0.136104,0.0759862,0.1035189,0.06635558,0.08553699,0.08540527,0.08501472,0.1209755,0.07089298,0.09574259,0.1039012,0.07838604,0.1183225,0.05406474,0.1076317,0.09325983,0.1518954,0.132605,0.0829045,0.1519727,0.1438285,0.09462381,0.160073,0.124075,0.1148643,0.104207,0.1075497,0.1561937,0.1277804,0.07648656,0.09256257,0.09983291,0.1460647,0.1085884,0.1580573,0.1608823
10100,0.07504298,0.07280056,0.05814187,0.07323309,0.120634,0.05411636,0.07985818,0.05268313,0.06367169,0.06782208,0.06351967,0.07630662,0.04976513,0.06573125,0.07035592,0.057358,0.08790332,0.04870314,0.07562755,0.0670555,0.1288375,0.09826948,0.06078137,0.1241796,0.1477655,0.07665518,0.1248655,0.1134143,0.08825798,0.08592357,0.06837567,0.1081216,0.08104427,0.05430404,0.0684493,0.09099611,0.1227424,0.1018377,0.1309791,0.1052189
10200,0.06517021,0.06713321,0.049268,0.06410347,0.1235015,0.0504986,0.06926386,0.03860664,0.05927488,0.05949164,0.05802849,0.05246802,0.04244568,0.05396106,0.05556314,0.04759771,0.07518822,0.03756347,0.05725338,0.05985774,0.1146651,0.08519037,0.04627469,0.1090287,0.1487421,0.06092393,0.1108153,0.08542954,0.06303461,0.07385968,0.05664888,0.07269903,0.06142903,0.04600077,0.05144501,0.07848574,0.1135968,0.08713934,0.0907511,0.08867516
10300,0.05678462,0.04934252,0.04851332,0.0668687,0.109175,0.04352043,0.05947778,0.03693933,0.05796361,0.05817584,0.05830504,0.04594491,0.04011915,0.04921246,0.05552306,0.0378118,0.06573457,0.03388324,0.04770931,0.05037182,0.09738729,0.07007222,0.03801757,0.1010372,0.1374279,0.05316455,0.09070494,0.07191305,0.05237177,0.07099544,0.04890015,0.06090387,0.05612688,0.0414322,0.04530961,0.06500309,0.1006056,0.07787136,0.08049154,0.0689776
10400,0.05137963,0.0499186,0.04706943,0.05747001,0.0918213,0.03980542,0.05904759,0.03614517,0.05385407,0.05227052,0.05001841,0.03715022,0.03924418,0.04349045,0.05181536,0.03042604,0.0605516,0.03379493,0.04794953,0.04613084,0.0834361,0.06172744,0.03766865,0.07653023,0.1190452,0.05301965,0.0919634,0.05642704,0.04579912,0.0667721,0.04483805,0.05253806,0.05402983,0.02942176,0.04107921,0.05618045,0.09977577,0.0723682,0.07780308,0.05617075
10500,0.04879789,0.04569354,0.04533783,0.05686761,0.08459686,0.03665181,0.05567509,0.03321907,0.05384775,0.05360342,0.04550152,0.03642537,0.04131985,0.03935597,0.05436043,0.02982157,0.05568797,0.03169914,0.0419531,0.0438033,0.06992365,0.05794249,0.03361025,0.06309356,0.1235821,0.05607469,0.0795901,0.05617549,0.04744798,0.06028642,0.04161622,0.05253773,0.05347237,0.02511758,0.03950248,0.04910832,0.09109229,0.06272793,0.06860128,0.05292191
10600,0.04381818,0.04443138,0.04238863,0.05272753,0.07874015,0.03446278,0.05485816,0.03080356,0.05165096,0.05294573,0.04939331,0.03169804,0.04004642,0.03778259,0.05362983,0.02812432,0.05261176,0.02987069,0.04447152,0.04367993,0.0704769,0.04934067,0.02954431,0.05261245,0.1232991,0.05291938,0.07578761,0.04492964,0.04357859,0.05452665,0.03775444,0.04734759,0.05154854,0.02351077,0.04051775,0.04437044,0.08367728,0.05405907,0.07041563,0.05294196
10700,0.04294974,0.03787223,0.04236381,0.05375998,0.08320109,0.0330924,0.05304596,0.031626,0.05104316,0.04822182,0.04339378,0.02992326,0.03911413,0.0390047,0.05231383,0.02559231,0.05189358,0.02963421,0.03907527,0.04319698,0.07104754,0.04852401,0.03021823,0.0482165,0.1296573,0.04961237,0.06813294,0.04029825,0.03976494,0.05447215,0.03412879,0.04374763,0.04865841,0.02290038,0.03672932,0.04559926,0.0806791,0.04958052,0.06517492,0.05322208
10800,0.04150565,0.03791244,0.04315444,0.05031846,0.08096801,0.03274013,0.05105876,0.03116966,0.04722245,0.0478368,0.04481087,0.03124468,0.03773034,0.04021322,0.05017573,0.02406144,0.04709496,0.02932824,0.04036605,0.04272978,0.06621731,0.0518321,0.02882064,0.04492513,0.1199075,0.04843432,0.06205926,0.04356851,0.03851786,0.05186174,0.03134802,0.04392467,0.0444648,0.02368065,0.04115812,0.04503527,0.07429493,0.04900413,0.06482521,0.0487974
10900,0.03880993,0.03956161,0.04193055,0.05393851,0.07876682,0.03337993,0.0500542,0.03229321,0.04566207,0.04696711,0.04567332,0.02835556,0.03816081,0.03882433,0.04406947,0.02430906,0.04387155,0.02749242,0.03787779,0.04129653,0.05970831,0.05297348,0.02760276,0.04748015,0.1184164,0.04867823,0.05610202,0.04222864,0.03484439,0.05074305,0.02952224,0.03938538,0.0442909,0.02215541,0.03846359,0.04363592,0.07503871,0.04555514,0.05881061,0.04189129
11000,0.03843687,0.03925063,0.04070015,0.04967748,0.07708052,0.03083028,0.05103234,0.0307214,0.05068058,0.04745105,0.03971171,0.02743753,0.03799179,0.03676023,0.04268561,0.02108697,0.04195774,0.02716409,0.0372508,0.03990028,0.05701897,0.04929885,0.02691885,0.04379354,0.1114957,0.0410759,0.05499461,0.04151269,0.0381139,0.04868063,0.02817906,0.03909745,0.04323925,0.0217332,0.03731335,0.04408911,0.0666055,0.04534953,0.05551467,0.03736861
11100,0.03676892,0.03893989,0.03864748,0.05033102,0.07701793,0.03090392,0.04980672,0.03099608,0.04042662,0.0462201,0.03485478,0.02640438,0.0364085,0.0360906,0.04233856,0.02033182,0.03924448,0.02699228,0.03933109,0.0406561,0.04962428,0.04763884,0.0237846,0.04374908,0.1062473,0.045956,0.05389948,0.0393066,0.03514186,0.04898097,0.02544025,0.03801091,0.04320931,0.02104854,0.03659622,0.0436563,0.06738355,0.04078803,0.0576377,0.03515227
11200,0.03647719,0.03806648,0.03795156,0.04909762,0.07654143,0.02848402,0.05044825,0.03022159,0.04415129,0.04635445,0.03608267,0.02638252,0.03429772,0.03557994,0.04076511,0.02016152,0.03708206,0.02584535,0.03452061,0.03728673,0.04880904,0.04700087,0.02425841,0.04378232,0.1015932,0.03871685,0.0537972,0.03729554,0.03707897,0.04980419,0.02430953,0.03827566,0.03849466,0.02106872,0.03680683,0.04157444,0.06145553,0.03813506,0.05040349,0.03146198
11300,0.03449983,0.03821909,0.03928861,0.05002347,0.08110766,0.02955935,0.04874103,0.03153271,0.04427689,0.04618842,0.03662086,0.0263334,0.0331485,0.03345344,0.03807781,0.01825663,0.03633869,0.02572333,0.03626325,0.03491609,0.04484602,0.0465789,0.02508345,0.042188,0.1001227,0.04134711,0.05251987,0.03517574,0.03795579,0.04828921,0.02325974,0.03618848,0.03560735,0.02034809,0.03328817,0.04053418,0.06318571,0.03479373,0.04946652,0.02928471
11400,0.03657199,0.03675963,0.04047608,0.04866913,0.08219056,0.02573675,0.04597897,0.03062978,0.04384668,0.04437384,0.0352498,0.02607853,0.03831096,0.03470945,0.04030934,0.01842826,0.0346069,0.02448728,0.03502974,0.03276603,0.04240241,0.04536312,0.02537894,0.04154501,0.1008387,0.04098118,0.04770224,0.03201468,0.03859332,0.04642387,0.02196986,0.0381648,0.04124799,0.02009652,0.03235636,0.03950833,0.05337757,0.03472049,0.04640309,0.02813162
11500,0.03523273,0.03628342,0.03771236,0.04954572,0.08587304,0.02677669,0.046209,0.0308106,0.03754031,0.04228767,0.03495955,0.0243113,0.03296929,0.03116583,0.03571581,0.01818423,0.03285678,0.02596852,0.03525201,0.03329419,0.04174826,0.04691382,0.02410091,0.04085094,0.09719458,0.04014557,0.04797452,0.030395,0.03425887,0.04422048,0.02063415,0.03589437,0.03809683,0.01958259,0.03278642,0.03966758,0.04733191,0.03546232,0.04746573,0.02898797
11600,0.0354338,0.03690291,0.03463553,0.04772693,0.07670423,0.02669329,0.04848815,0.03212366,0.03955853,0.04289019,0.03364265,0.02518266,0.03369861,0.03193026,0.03406192,0.01834973,0.03329325,0.0241027,0.03603771,0.03192881,0.03827472,0.04619953,0.02171272,0.03715627,0.09090048,0.04618695,0.04916683,0.03060718,0.03454956,0.04151824,0.02129333,0.03643167,0.03873299,0.01955768,0.03162117,0.04044046,0.04830461,0.03388299,0.04758994,0.02778514
11700,0.03576771,0.03710744,0.034435,0.04789499,0.0831269,0.02590731,0.04744364,0.03083569,0.0377741,0.04249142,0.0307197,0.02530004,0.03548069,0.02924443,0.03563742,0.01820664,0.03652003,0.0241518,0.03430936,0.03212604,0.03715163,0.0463584,0.02123595,0.0356639,0.09392192,0.04156048,0.04732192,0.02907311,0.03398688,0.04151155,0.01776293,0.035175,0.03937439,0.01795539,0.02937648,0.04047993,0.04930553,0.03387102,0.04467515,0.0269524
11800,0.03564683,0.03533787,0.03409809,0.04752865,0.07813434,0.02403,0.0473997,0.03385205,0.03507183,0.04012707,0.03304702,0.02617525,0.03297132,0.02777728,0.03343859,0.01867131,0.03487906,0.02297756,0.03354147,0.03337254,0.03650392,0.04472419,0.02058418,0.03548775,0.08927909,0.03795795,0.0433351,0.03090407,0.03171091,0.03930296,0.01908441,0.03682218,0.03696755,0.01761163,0.02934906,0.03894224,0.04152794,0.0316051,0.04151162,0.02671311
11900,0.0311547,0.03624376,0.0334492,0.04674658,0.07395503,0.02423389,0.04447635,0.03039192,0.03563751,0.04303909,0.03214757,0.02525576,0.03335985,0.02798052,0.0375494,0.01787764,0.03269964,0.02349718,0.03322452,0.03024099,0.03142266,0.04444448,0.02034234,0.03761069,0.08899579,0.03776697,0.04380969,0.02679219,0.03248138,0.03903573,0.01744823,0.0367768,0.0357962,0.01826856,0.03110803,0.0396637,0.03619639,0.03226705,0.0421959,0.02455992
12000,0.03154119,0.03458716,0.03327858,0.04828526,0.07736654,0.02513456,0.04585593,0.02957631,0.03751407,0.04203281,0.0322792,0.02497669,0.03151188,0.02745743,0.03494455,0.01833679,0.03244758,0.02345113,0.03210801,0.03162447,0.03490117,0.04369001,0.01951301,0.03505719,0.0895085,0.03797187,0.04371243,0.02619069,0.03077351,0.03839594,0.01744193,0.03575537,0.03453569,0.01726333,0.03102002,0.03768621,0.03645433,0.03179668,0.04164119,0.02413599
12100,0.03411376,0.03406616,0.03363365,0.0464844,0.07703505,0.02335784,0.04410154,0.03109783,0.03566236,0.04186581,0.03201408,0.02432197,0.03170841,0.0260761,0.03334884,0.01798203,0.03205575,0.02147875,0.02981834,0.03121186,0.03573876,0.04352967,0.01882742,0.03535681,0.08292077,0.03923244,0.04151693,0.02738352,0.03128374,0.03979974,0.01621544,0.03718982,0.03548715,0.01665251,0.02992216,0.03862019,0.03331463,0.02932655,0.03909417,0.02405993
12200,0.03194898,0.03444777,0.03152508,0.04811556,0.07311042,0.02223428,0.04146064,0.02983309,0.03455946,0.0436543,0.02962867,0.0249917,0.03167977,0.0259544,0.03371602,0.01806145,0.02970657,0.0209667,0.02882897,0.03280557,0.03233017,0.04204513,0.01750512,0.03309114,0.08961969,0.03439129,0.03870732,0.02565291,0.02938572,0.03884402,0.01540753,0.03625885,0.03484647,0.01648607,0.0293285,0.03753671,0.03320632,0.03012754,0.03527129,0.02198301
12300,0.03404865,0.03421211,0.03116646,0.04569124,0.07226858,0.02066042,0.04217871,0.02955263,0.03543113,0.04275451,0.02988229,0.02496136,0.0322425,0.02493389,0.03414844,0.01893433,0.03097619,0.01993844,0.03003363,0.03071207,0.03287185,0.04174871,0.01858549,0.03143313,0.0824299,0.03412013,0.03856431,0.02509183,0.0311026,0.03804402,0.01623639,0.03769741,0.03472075,0.01641537,0.02932377,0.03847453,0.02937462,0.02930135,0.03904929,0.0209014
12400,0.03167362,0.03286641,0.03218837,0.04442717,0.07201485,0.0202747,0.04168814,0.03109694,0.03190231,0.03937006,0.03007196,0.02403648,0.03001218,0.02496007,0.03533624,0.01782375,0.02981433,0.01940354,0.02765357,0.03072073,0.02980036,0.03881402,0.01951039,0.03146808,0.07537783,0.03630075,0.03945678,0.02525641,0.0290261,0.03514777,0.01655377,0.03924251,0.03294682,0.01710079,0.03108736,0.03737286,0.03151749,0.02747415,0.03511395,0.0210555
12500,0.0331765,0.03500891,0.03261836,0.0461132,0.07334514,0.02061239,0.03916014,0.03086948,0.03345514,0.04008505,0.0303585,0.02384651,0.03075262,0.02305606,0.03453872,0.01668924,0.02902825,0.02014676,0.02721659,0.03021239,0.0313412,0.04316889,0.01949744,0.03099084,0.07763306,0.03569989,0.03622669,0.02475108,0.029775,0.03441842,0.01672396,0.03633014,0.03250954,0.01646439,0.0312889,0.03639013,0.02992624,0.02977339,0.0343616,0.02046741
12600,0.03047808,0.03278095,0.02972738,0.04591197,0.06902909,0.02022198,0.04235316,0.02909187,0.0324441,0.0363422,0.02620474,0.02457084,0.03084153,0.0211045,0.03427723,0.016256,0.02887709,0.01943194,0.02609543,0.03140928,0.02725903,0.03974928,0.01797526,0.02905387,0.07051666,0.03572762,0.03792996,0.02373705,0.03028741,0.03337749,0.01495694,0.03782372,0.03388802,0.01440195,0.02943271,0.03461178,0.02485163,0.02954639,0.03360936,0.01906393
12700,0.02871492,0.03111348,0.0288353,0.04644447,0.06660566,0.01823744,0.04064468,0.02898459,0.03282499,0.03693334,0.02660321,0.02372538,0.02866024,0.02096544,0.0325906,0.01665811,0.02923265,0.01843456,0.02559355,0.03147075,0.02684318,0.04167928,0.01693424,0.02656101,0.0694977,0.02924329,0.03559489,0.02370492,0.02793477,0.03199334,0.01477597,0.03998737,0.03084645,0.01515887,0.02889086,0.03340355,0.02521867,0.02751462,0.03388163,0.01920854
12800,0.02995828,0.03120115,0.02924339,0.04490356,0.07325708,0.01921909,0.03764,0.02924369,0.03158001,0.03677132,0.02761634,0.02173924,0.03185852,0.02029947,0.03153022,0.01585369,0.02787885,0.01941734,0.02551804,0.03065181,0.02840023,0.03816656,0.01792611,0.02615018,0.06650038,0.03189988,0.03542281,0.02344254,0.02775818,0.03244872,0.0158071,0.03659186,0.03495708,0.01476604,0.0294495,0.0337874,0.02366314,0.02775382,0.03462861,0.01940791
12900,0.029401,0.03068109,0.02831769,0.04500138,0.06771699,0.01824478,0.03918617,0.02857604,0.03283684,0.03544241,0.02571183,0.02262582,0.02965619,0.02020994,0.03063388,0.01736254,0.03016989,0.01761608,0.02636901,0.03005542,0.02771181,0.04094426,0.01734579,0.02370054,0.0642282,0.02917978,0.0339638,0.02190263,0.02958819,0.03052055,0.01432889,0.03678843,0.02929432,0.01522287,0.02804956,0.03507394,0.02613442,0.02793559,0.03557682,0.01784811
